No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
60,Applied Science,Health Care Practice,Total,Percentage,,,10.1%,29.3%,89.0%,11.0%
61,Applied Science,Medical Laboratory Science,Male,Number,27,20,3,11,16,4
62,Applied Science,Medical Laboratory Science,Male,Percentage,,,15.0%,55.0%,80.0%,20.0%
63,Applied Science,Medical Laboratory Science,Female,Number,50,42,14,28,31,11
64,Applied Science,Medical Laboratory Science,Female,Percentage,,,33.3%,66.7%,73.8%,26.2%
65,Applied Science,Medical Laboratory Science,Total,Number,77,62,17,39,47,15
66,Applied Science,Medical Laboratory Science,Total,Percentage,,,27.4%,62.9%,75.8%,24.2%
67,Applied Science,Practical Psychology,Male,Number,38,34,2,10,30,4
68,Applied Science,Practical Psychology,Male,Percentage,,,5.9%,29.4%,88.2%,11.8%
69,Applied Science,Practical Psychology,Female,Number,72,68,17,40,66,2
70,Applied Science,Practical Psychology,Female,Percentage,,,25.0%,58.8%,97.1%,2.9%
71,Applied Science,Practical Psychology,Total,Number,110,102,19,50,96,6
72,Applied Science,Practical Psychology,Total,Percentage,,,18.6%,49.0%,94.1%,5.9%
73,Applied Science,Rehabilitation Care Practice,Male,Number,19,19,1,4,17,2
74,Applied Science,Rehabilitation Care Practice,Male,Percentage,,,5.3%,21.1%,89.5%,10.5%
75,Applied Science,Rehabilitation Care Practice,Female,Number,46,42,5,12,39,3
76,Applied Science,Rehabilitation Care Practice,Female,Percentage,,,11.9%,28.6%,92.9%,7.1%
77,Applied Science,Rehabilitation Care Practice,Total,Number,65,61,6,16,56,5
78,Applied Science,Rehabilitation Care Practice,Total,Percentage,,,9.8%,26.2%,91.8%,8.2%
79,"Business, Management and Law",Accounting for e-Business,Male,Number,67,63,5,23,45,18
80,"Business, Management and Law",Accounting for e-Business,Male,Percentage,,,7.9%,36.5%,71.4%,28.6%
81,"Business, Management and Law",Accounting for e-Business,Female,Number,38,38,6,13,33,5
82,"Business, Management and Law",Accounting for e-Business,Female,Percentage,,,15.8%,34.2%,86.8%,13.2%
83,"Business, Management and Law",Accounting for e-Business,Total,Number,105,101,11,36,78,23
84,"Business, Management and Law",Accounting for e-Business,Total,Percentage,,,10.9%,35.6%,77.2%,22.8%
85,"Business, Management and Law",AI in Business,Male,Number,0,0,-,-,-,-
86,"Business, Management and Law",AI in Business,Male,Percentage,,,-,-,-,-
87,"Business, Management and Law",AI in Business,Female,Number,0,0,-,-,-,-
88,"Business, Management and Law",AI in Business,Female,Percentage,,,-,-,-,-
89,"Business, Management and Law",AI in Business,Total,Number,0,0,-,-,-,-
90,"Business, Management and Law",AI in Business,Total,Percentage,,,-,-,-,-
91,"Business, Management and Law",Data Application for Business,Male,Number,9,6,1,2,5,1
92,"Business, Management and Law",Data Application for Business,Male,Percentage,,,16.7%,33.3%,83.3%,16.7%
93,"Business, Management and Law",Data Application for Business,Female,Number,5,4,0,2,4,0
94,"Business, Management and Law",Data Application for Business,Female,Percentage,,,0.0%,50.0%,100.0%,0.0%
95,"Business, Management and Law",Data Application for Business,Total,Number,14,10,1,4,9,1
96,"Business, Management and Law",Data Application for Business,Total,Percentage,,,10.0%,40.0%,90.0%,10.0%
97,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Number,12,11,0,2,9,2
98,"Business, Management and Law",Law Enforcement in Hong Kong,Male,Percentage,,,0.0%,18.2%,81.8%,18.2%
99,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Number,16,16,3,5,16,0
100,"Business, Management and Law",Law Enforcement in Hong Kong,Female,Percentage,,,18.8%,31.3%,100.0%,0.0%
101,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Number,28,27,3,7,25,2
102,"Business, Management and Law",Law Enforcement in Hong Kong,Total,Percentage,,,11.1%,25.9%,92.6%,7.4%
103,"Business, Management and Law",Marketing and Online Promotion,Male,Number,66,63,3,12,45,18
104,"Business, Management and Law",Marketing and Online Promotion,Male,Percentage,,,4.8%,19.0%,71.4%,28.6%
105,"Business, Management and Law",Marketing and Online Promotion,Female,Number,62,61,8,29,56,5
106,"Business, Management and Law",Marketing and Online Promotion,Female,Percentage,,,13.1%,47.5%,91.8%,8.2%
107,"Business, Management and Law",Marketing and Online Promotion,Total,Number,128,124,11,41,101,23
108,"Business, Management and Law",Marketing and Online Promotion,Total,Percentage,,,8.9%,33.1%,81.5%,18.5%
109,Creative Studies,Computer Game and Animation Design,Male,Number,291,278,20,76,238,40
110,Creative Studies,Computer Game and Animation Design,Male,Percentage,,,7.2%,27.3%,85.6%,14.4%
111,Creative Studies,Computer Game and Animation Design,Female,Number,84,82,7,24,66,16
112,Creative Studies,Computer Game and Animation Design,Female,Percentage,,,8.5%,29.3%,80.5%,19.5%
113,Creative Studies,Computer Game and Animation Design,Total,Number,375,360,27,100,304,56
114,Creative Studies,Computer Game and Animation Design,Total,Percentage,,,7.5%,27.8%,84.4%,15.6%
115,Creative Studies,Digital Comic Design and Production,Male,Number,76,62,0,5,57,5
116,Creative Studies,Digital Comic Design and Production,Male,Percentage,,,0.0%,8.1%,91.9%,8.1%
117,Creative Studies,Digital Comic Design and Production,Female,Number,119,114,13,42,110,4
118,Creative Studies,Digital Comic Design and Production,Female,Percentage,,,11.4%,36.8%,96.5%,3.5%
119,Creative Studies,Digital Comic Design and Production,Total,Number,195,176,13,47,167,9
120,Creative Studies,Digital Comic Design and Production,Total,Percentage,,,7.4%,26.7%,94.9%,5.1%
121,Creative Studies,Fashion Image Design,Male,Number,51,49,0,3,48,1
122,Creative Studies,Fashion Image Design,Male,Percentage,,,0.0%,6.1%,98.0%,2.0%
123,Creative Studies,Fashion Image Design,Female,Number,182,171,17,58,170,1
124,Creative Studies,Fashion Image Design,Female,Percentage,,,9.9%,33.9%,99.4%,0.6%
125,Creative Studies,Fashion Image Design,Total,Number,233,220,17,61,218,2
126,Creative Studies,Fashion Image Design,Total,Percentage,,,7.7%,27.7%,99.1%,0.9%
127,Creative Studies,Interior Design,Male,Number,64,56,2,8,40,16
128,Creative Studies,Interior Design,Male,Percentage,,,3.6%,14.3%,71.4%,28.6%
129,Creative Studies,Interior Design,Female,Number,67,59,7,26,54,5
130,Creative Studies,Interior Design,Female,Percentage,,,11.9%,44.1%,91.5%,8.5%
131,Creative Studies,Interior Design,Total,Number,131,115,9,34,94,21
132,Creative Studies,Interior Design,Total,Percentage,,,7.8%,29.6%,81.7%,18.3%
133,Creative Studies,Jewellery Design in Digital Age,Male,Number,3,3,0,1,2,1
134,Creative Studies,Jewellery Design in Digital Age,Male,Percentage,,,0.0%,33.3%,66.7%,33.3%
135,Creative Studies,Jewellery Design in Digital Age,Female,Number,11,10,1,4,9,1
136,Creative Studies,Jewellery Design in Digital Age,Female,Percentage,,,10.0%,40.0%,90.0%,10.0%
137,Creative Studies,Jewellery Design in Digital Age,Total,Number,14,13,1,5,11,2
138,Creative Studies,Jewellery Design in Digital Age,Total,Percentage,,,7.7%,38.5%,84.6%,15.4%
139,Creative Studies,Popular Music Production,Male,Number,43,39,8,18,35,4
140,Creative Studies,Popular Music Production,Male,Percentage,,,20.5%,46.2%,89.7%,10.3%
141,Creative Studies,Popular Music Production,Female,Number,62,60,9,24,58,2
142,Creative Studies,Popular Music Production,Female,Percentage,,,15.0%,40.0%,96.7%,3.3%
143,Creative Studies,Popular Music Production,Total,Number,105,99,17,42,93,6
144,Creative Studies,Popular Music Production,Total,Percentage,,,17.2%,42.4%,93.9%,6.1%
145,Creative Studies,Taking a Chance on Dance,Male,Number,7,6,1,2,6,0
146,Creative Studies,Taking a Chance on Dance,Male,Percentage,,,16.7%,33.3%,100.0%,0.0%
147,Creative Studies,Taking a Chance on Dance,Female,Number,35,35,7,18,32,3
148,Creative Studies,Taking a Chance on Dance,Female,Percentage,,,20.0%,51.4%,91.4%,8.6%
149,Creative Studies,Taking a Chance on Dance,Total,Number,42,41,8,20,38,3
150,Creative Studies,Taking a Chance on Dance,Total,Percentage,,,19.5%,48.8%,92.7%,7.3%
151,Creative Studies,The Essentials of Theatre Arts,Male,Number,11,11,1,4,11,0
152,Creative Studies,The Essentials of Theatre Arts,Male,Percentage,,,9.1%,36.4%,100.0%,0.0%
153,Creative Studies,The Essentials of Theatre Arts,Female,Number,49,42,6,22,42,0
154,Creative Studies,The Essentials of Theatre Arts,Female,Percentage,,,14.3%,52.4%,100.0%,0.0%
155,Creative Studies,The Essentials of Theatre Arts,Total,Number,60,53,7,26,53,0
156,Creative Studies,The Essentials of Theatre Arts,Total,Percentage,,,13.2%,49.1%,100.0%,0.0%
157,Engineering and Production,AI and Robotics,Male,Number,30,22,3,8,21,1
158,Engineering and Production,AI and Robotics,Male,Percentage,,,13.6%,36.4%,95.5%,4.5%
159,Engineering and Production,AI and Robotics,Female,Number,13,10,2,7,10,0
160,Engineering and Production,AI and Robotics,Female,Percentage,,,20.0%,70.0%,100.0%,0.0%
161,Engineering and Production,AI and Robotics,Total,Number,43,32,5,15,31,1
162,Engineering and Production,AI and Robotics,Total,Percentage,,,15.6%,46.9%,96.9%,3.1%
163,Engineering and Production,Aviation Studies,Male,Number,132,120,3,19,115,5
164,Engineering and Production,Aviation Studies,Male,Percentage,,,2.5%,15.8%,95.8%,4.2%
165,Engineering and Production,Aviation Studies,Female,Number,49,46,2,4,40,6
166,Engineering and Production,Aviation Studies,Female,Percentage,,,4.3%,8.7%,87.0%,13.0%
167,Engineering and Production,Aviation Studies,Total,Number,181,166,5,23,155,11
168,Engineering and Production,Aviation Studies,Total,Percentage,,,3.0%,13.9%,93.4%,6.6%
169,Engineering and Production,Computer Forensic Technology,Male,Number,5,5,0,1,5,0
170,Engineering and Production,Computer Forensic Technology,Male,Percentage,,,0.0%,20.0%,100.0%,0.0%
171,Engineering and Production,Computer Forensic Technology,Female,Number,2,1,1,1,1,0
172,Engineering and Production,Computer Forensic Technology,Female,Percentage,,,100.0%,100.0%,100.0%,0.0%
173,Engineering and Production,Computer Forensic Technology,Total,Number,7,6,1,2,6,0
174,Engineering and Production,Computer Forensic Technology,Total,Percentage,,,16.7%,33.3%,100.0%,0.0%
175,Engineering and Production,Electrical and Energy Engineering,Male,Number,85,81,6,15,81,0
176,Engineering and Production,Electrical and Energy Engineering,Male,Percentage,,,7.4%,18.5%,100.0%,0.0%
177,Engineering and Production,Electrical and Energy Engineering,Female,Number,7,7,2,4,7,0
178,Engineering and Production,Electrical and Energy Engineering,Female,Percentage,,,28.6%,57.1%,100.0%,0.0%
179,Engineering and Production,Electrical and Energy Engineering,Total,Number,92,88,8,19,88,0
180,Engineering and Production,Electrical and Energy Engineering,Total,Percentage,,,9.1%,21.6%,100.0%,0.0%
181,Engineering and Production,eSports Technology,Male,Number,151,133,7,30,108,25
182,Engineering and Production,eSports Technology,Male,Percentage,,,5.3%,22.6%,81.2%,18.8%
183,Engineering and Production,eSports Technology,Female,Number,17,14,1,4,11,3
184,Engineering and Production,eSports Technology,Female,Percentage,,,7.1%,28.6%,78.6%,21.4%
185,Engineering and Production,eSports Technology,Total,Number,168,147,8,34,119,28
186,Engineering and Production,eSports Technology,Total,Percentage,,,5.4%,23.1%,81.0%,19.0%
187,Engineering and Production,Railway Studies,Male,Number,67,64,1,8,54,10
188,Engineering and Production,Railway Studies,Male,Percentage,,,1.6%,12.5%,84.4%,15.6%
189,Engineering and Production,Railway Studies,Female,Number,0,0,-,-,-,-
190,Engineering and Production,Railway Studies,Female,Percentage,,,-,-,-,-
191,Engineering and Production,Railway Studies,Total,Number,67,64,1,8,54,10
192,Engineering and Production,Railway Studies,Total,Percentage,,,1.6%,12.5%,84.4%,15.6%
193,Engineering and Production,Tech Basics,Male,Number,132,121,7,28,98,23
194,Engineering and Production,Tech Basics,Male,Percentage,,,5.8%,23.1%,81.0%,19.0%
195,Engineering and Production,Tech Basics,Female,Number,19,17,0,3,15,2
196,Engineering and Production,Tech Basics,Female,Percentage,,,0.0%,17.6%,88.2%,11.8%
197,Engineering and Production,Tech Basics,Total,Number,151,138,7,31,113,25
198,Engineering and Production,Tech Basics,Total,Percentage,,,5.1%,22.5%,81.9%,18.1%
199,Media and Communication,Digital Brand Communication,Male,Number,0,0,-,-,-,-
200,Media and Communication,Digital Brand Communication,Male,Percentage,,,-,-,-,-
201,Media and Communication,Digital Brand Communication,Female,Number,0,0,-,-,-,-
202,Media and Communication,Digital Brand Communication,Female,Percentage,,,-,-,-,-
203,Media and Communication,Digital Brand Communication,Total,Number,0,0,-,-,-,-
204,Media and Communication,Digital Brand Communication,Total,Percentage,,,-,-,-,-
205,Media and Communication,Digital Media and Radio Production,Male,Number,63,54,2,4,50,4
206,Media and Communication,Digital Media and Radio Production,Male,Percentage,,,3.7%,7.4%,92.6%,7.4%
207,Media and Communication,Digital Media and Radio Production,Female,Number,50,46,3,11,45,1
208,Media and Communication,Digital Media and Radio Production,Female,Percentage,,,6.5%,23.9%,97.8%,2.2%
209,Media and Communication,Digital Media and Radio Production,Total,Number,113,100,5,15,95,5
210,Media and Communication,Digital Media and Radio Production,Total,Percentage,,,5.0%,15.0%,95.0%,5.0%
211,Media and Communication,Film and Transmedia,Male,Number,87,75,4,10,54,21
212,Media and Communication,Film and Transmedia,Male,Percentage,,,5.3%,13.3%,72.0%,28.0%
213,Media and Communication,Film and Transmedia,Female,Number,82,73,7,22,67,6
214,Media and Communication,Film and Transmedia,Female,Percentage,,,9.6%,30.1%,91.8%,8.2%
215,Media and Communication,Film and Transmedia,Total,Number,169,148,11,32,121,27
216,Media and Communication,Film and Transmedia,Total,Percentage,,,7.4%,21.6%,81.8%,18.2%
217,Media and Communication,Multimedia Storytelling,Male,Number,72,68,2,6,64,4
218,Media and Communication,Multimedia Storytelling,Male,Percentage,,,2.9%,8.8%,94.1%,5.9%
219,Media and Communication,Multimedia Storytelling,Female,Number,37,37,1,6,36,1
220,Media and Communication,Multimedia Storytelling,Female,Percentage,,,2.7%,16.2%,97.3%,2.7%
221,Media and Communication,Multimedia Storytelling,Total,Number,109,105,3,12,100,5
222,Media and Communication,Multimedia Storytelling,Total,Percentage,,,2.9%,11.4%,95.2%,4.8%
223,Media and Communication,PR and Multimedia Communication,Male,Number,82,82,3,9,67,15
224,Media and Communication,PR and Multimedia Communication,Male,Percentage,,,3.7%,11.0%,81.7%,18.3%
225,Media and Communication,PR and Multimedia Communication,Female,Number,60,60,7,17,54,6
226,Media and Communication,PR and Multimedia Communication,Female,Percentage,,,11.7%,28.3%,90.0%,10.0%
227,Media and Communication,PR and Multimedia Communication,Total,Number,142,142,10,26,121,21
228,Media and Communication,PR and Multimedia Communication,Total,Percentage,,,7.0%,18.3%,85.2%,14.8%
229,Services,Airport Passenger Terminal Operations,Male,Number,60,55,2,5,42,13
230,Services,Airport Passenger Terminal Operations,Male,Percentage,,,3.6%,9.1%,76.4%,23.6%
231,Services,Airport Passenger Terminal Operations,Female,Number,16,16,2,5,16,0
232,Services,Airport Passenger Terminal Operations,Female,Percentage,,,12.5%,31.3%,100.0%,0.0%
233,Services,Airport Passenger Terminal Operations,Total,Number,76,71,4,10,58,13
234,Services,Airport Passenger Terminal Operations,Total,Percentage,,,5.6%,14.1%,81.7%,18.3%
235,Services,Child Care and Development,Male,Number,16,16,1,1,16,0
236,Services,Child Care and Development,Male,Percentage,,,6.3%,6.3%,100.0%,0.0%
237,Services,Child Care and Development,Female,Number,60,57,5,20,57,0
238,Services,Child Care and Development,Female,Percentage,,,8.8%,35.1%,100.0%,0.0%
239,Services,Child Care and Development,Total,Number,76,73,6,21,73,0
240,Services,Child Care and Development,Total,Percentage,,,8.2%,28.8%,100.0%,0.0%
241,Services,Child Care and Education,Male,Number,39,34,1,2,26,8
242,Services,Child Care and Education,Male,Percentage,,,2.9%,5.9%,76.5%,23.5%
243,Services,Child Care and Education,Female,Number,150,142,12,45,135,7
244,Services,Child Care and Education,Female,Percentage,,,8.5%,31.7%,95.1%,4.9%
245,Services,Child Care and Education,Total,Number,189,176,13,47,161,15
246,Services,Child Care and Education,Total,Percentage,,,7.4%,26.7%,91.5%,8.5%
247,Services,Fundamental Cosmetology,Male,Number,12,9,0,0,6,3
248,Services,Fundamental Cosmetology,Male,Percentage,,,0.0%,0.0%,66.7%,33.3%
249,Services,Fundamental Cosmetology,Female,Number,120,102,6,19,95,7
250,Services,Fundamental Cosmetology,Female,Percentage,,,5.9%,18.6%,93.1%,6.9%
251,Services,Fundamental Cosmetology,Total,Number,132,111,6,19,101,10
252,Services,Fundamental Cosmetology,Total,Percentage,,,5.4%,17.1%,91.0%,9.0%
253,Services,Hospitality Services in Practice,Male,Number,39,36,1,4,30,6
254,Services,Hospitality Services in Practice,Male,Percentage,,,2.8%,11.1%,83.3%,16.7%
255,Services,Hospitality Services in Practice,Female,Number,40,37,4,18,35,2
256,Services,Hospitality Services in Practice,Female,Percentage,,,10.8%,48.6%,94.6%,5.4%
257,Services,Hospitality Services in Practice,Total,Number,79,73,5,22,65,8
258,Services,Hospitality Services in Practice,Total,Percentage,,,6.8%,30.1%,89.0%,11.0%
259,Services,Hotel Operations,Male,Number,109,99,2,7,86,13
260,Services,Hotel Operations,Male,Percentage,,,2.0%,7.1%,86.9%,13.1%
261,Services,Hotel Operations,Female,Number,67,64,3,20,60,4
262,Services,Hotel Operations,Female,Percentage,,,4.7%,31.3%,93.8%,6.3%
263,Services,Hotel Operations,Total,Number,176,163,5,27,146,17
264,Services,Hotel Operations,Total,Percentage,,,3.1%,16.6%,89.6%,10.4%
265,Services,Modern Southeast Asian Cuisine,Male,Number,10,10,0,2,10,0
266,Services,Modern Southeast Asian Cuisine,Male,Percentage,,,0.0%,20.0%,100.0%,0.0%
267,Services,Modern Southeast Asian Cuisine,Female,Number,3,3,0,0,3,0
268,Services,Modern Southeast Asian Cuisine,Female,Percentage,,,0.0%,0.0%,100.0%,0.0%
269,Services,Modern Southeast Asian Cuisine,Total,Number,13,13,0,2,13,0
270,Services,Modern Southeast Asian Cuisine,Total,Percentage,,,0.0%,15.4%,100.0%,0.0%
271,Services,Pâtisserie and Café Operations,Male,Number,383,355,2,21,309,46
272,Services,Pâtisserie and Café Operations,Male,Percentage,,,0.6%,5.9%,87.0%,13.0%
273,Services,Pâtisserie and Café Operations,Female,Number,492,461,36,119,430,31
274,Services,Pâtisserie and Café Operations,Female,Percentage,,,7.8%,25.8%,93.3%,6.7%
275,Services,Pâtisserie and Café Operations,Total,Number,875,816,38,140,739,77
276,Services,Pâtisserie and Café Operations,Total,Percentage,,,4.7%,17.2%,90.6%,9.4%
277,Services,Western Cuisine,Male,Number,272,227,6,22,203,24
278,Services,Western Cuisine,Male,Percentage,,,2.6%,9.7%,89.4%,10.6%
279,Services,Western Cuisine,Female,Number,278,238,15,65,224,14
280,Services,Western Cuisine,Female,Percentage,,,6.3%,27.3%,94.1%,5.9%
281,Services,Western Cuisine,Total,Number,550,465,21,87,427,38
282,Services,Western Cuisine,Total,Percentage,,,4.5%,18.7%,91.8%,8.2%
283,,Korean Language and Culture,Male,Number,20,18,0,1,6,12
284,,Korean Language and Culture,Male,Percentage,,,0.0%,5.6%,33.3%,66.7%
285,,Korean Language and Culture,Female,Number,95,85,14,39,66,19
286,,Korean Language and Culture,Female,Percentage,,,16.5%,45.9%,77.6%,22.4%
287,,Korean Language and Culture,Total,Number,115,103,14,40,72,31
288,,Korean Language and Culture,Total,Percentage,,,13.6%,38.8%,69.9%,30.1%
289,,Practical Translation (CHI-ENG),Male,Number,8,6,2,4,6,0
290,,Practical Translation (CHI-ENG),Male,Percentage,,,33.3%,66.7%,100.0%,0.0%
291,,Practical Translation (CHI-ENG),Female,Number,6,6,3,3,5,1
292,,Practical Translation (CHI-ENG),Female,Percentage,,,50.0%,50.0%,83.3%,16.7%
293,,Practical Translation (CHI-ENG),Total,Number,14,12,5,7,11,1
294,,Practical Translation (CHI-ENG),Total,Percentage,,,41.7%,58.3%,91.7%,8.3%
295,All Category B subjects (except Applied Learning Chinese),,Male,Number,4106,3740,197,739,3139,601
296,All Category B subjects (except Applied Learning Chinese),,Male,Percentage,,,5.3%,19.8%,83.9%,16.1%
297,All Category B subjects (except Applied Learning Chinese),,Female,Number,3676,3428,416,1222,3159,269
298,All Category B subjects (except Applied Learning Chinese),,Female,Percentage,,,12.1%,35.6%,92.2%,7.8%
299,All Category B subjects (except Applied Learning Chinese),,Total,Number,7782,7168,613,1961,6298,870
300,All Category B subjects (except Applied Learning Chinese),,Total,Percentage,,,8.6%,27.4%,87.9%,12.1%
