行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 -  5**,表現 -  5*,表現 -  5+,表現 -  4+,表現 -  3+,表現 -  2+,表現 -  1+,表現 -  U
69,地理,,女生,數字,5455,5373,50.7,71,297,713,2253,3709,4807,5232,141
70,地理,,女生,百分比,,,,1.3%,5.5%,13.3%,41.9%,69.0%,89.5%,97.4%,2.6%
71,地理,,總數,數字,9555,9357,56.2,112,468,1118,3629,6076,8150,9025,332
72,地理,,總數,百分比,,,,1.2%,5.0%,11.9%,38.8%,64.9%,87.1%,96.5%,3.5%
73,健康管理與社會關懷,,男生,數字,287,278,91.0,0,1,2,22,79,188,245,33
74,健康管理與社會關懷,,男生,百分比,,,,0.0%,0.4%,0.7%,7.9%,28.4%,67.6%,88.1%,11.9%
75,健康管理與社會關懷,,女生,數字,559,551,89.3,3,12,28,126,287,457,528,23
76,健康管理與社會關懷,,女生,百分比,,,,0.5%,2.2%,5.1%,22.9%,52.1%,82.9%,95.8%,4.2%
77,健康管理與社會關懷,,總數,數字,846,829,89.9,3,13,30,148,366,645,773,56
78,健康管理與社會關懷,,總數,百分比,,,,0.4%,1.6%,3.6%,17.9%,44.1%,77.8%,93.2%,6.8%
79,歷史,,男生,數字,2384,2321,70.8,26,119,304,977,1646,2161,2295,26
80,歷史,,男生,百分比,,,,1.1%,5.1%,13.1%,42.1%,70.9%,93.1%,98.9%,1.1%
81,歷史,,女生,數字,2908,2874,51.4,51,184,462,1571,2320,2747,2864,10
82,歷史,,女生,百分比,,,,1.8%,6.4%,16.1%,54.7%,80.7%,95.6%,99.7%,0.3%
83,歷史,,總數,數字,5292,5195,60.0,77,303,766,2548,3966,4908,5159,36
84,歷史,,總數,百分比,,,,1.5%,5.8%,14.7%,49.0%,76.3%,94.5%,99.3%,0.7%
85,資訊及通訊科技,,男生,數字,4317,4171,62.8,34,144,368,1089,2151,3354,3935,236
86,資訊及通訊科技,,男生,百分比,,,,0.8%,3.5%,8.8%,26.1%,51.6%,80.4%,94.3%,5.7%
87,資訊及通訊科技,,女生,數字,1340,1301,42.0,15,58,124,400,715,1057,1231,70
88,資訊及通訊科技,,女生,百分比,,,,1.2%,4.5%,9.5%,30.7%,55.0%,81.2%,94.6%,5.4%
89,資訊及通訊科技,,總數,數字,5657,5472,57.9,49,202,492,1489,2866,4411,5166,306
90,資訊及通訊科技,,總數,百分比,,,,0.9%,3.7%,9.0%,27.2%,52.4%,80.6%,94.4%,5.6%
91,通識教育,,男生,數字,25777,25523,88.3,141,561,1462,7085,14988,21834,24864,659
92,通識教育,,男生,百分比,,,,0.6%,2.2%,5.7%,27.8%,58.7%,85.5%,97.4%,2.6%
93,通識教育,,女生,數字,25289,25141,82.2,319,1228,3069,11415,19191,23493,24906,235
94,通識教育,,女生,百分比,,,,1.3%,4.9%,12.2%,45.4%,76.3%,93.4%,99.1%,0.9%
95,通識教育,,總數,數字,51066,50664,85.3,460,1789,4531,18500,34179,45327,49770,894
96,通識教育,,總數,百分比,,,,0.9%,3.5%,8.9%,36.5%,67.5%,89.5%,98.2%,1.8%
97,英語文學,,男生,數字,24,23,-,1,1,3,8,11,16,19,4
98,英語文學,,男生,百分比,,,,4.3%,4.3%,13.0%,34.8%,47.8%,69.6%,82.6%,17.4%
99,英語文學,,女生,數字,278,275,-,7,30,73,175,236,259,273,2
100,英語文學,,女生,百分比,,,,2.5%,10.9%,26.5%,63.6%,85.8%,94.2%,99.3%,0.7%
101,英語文學,,總數,數字,302,298,-,8,31,76,183,247,275,292,6
102,英語文學,,總數,百分比,,,,2.7%,10.4%,25.5%,61.4%,82.9%,92.3%,98.0%,2.0%
103,數學,必修部分,男生,數字,25803,25289,46.0,550,1898,4367,10201,14741,20275,23321,1968
104,數學,必修部分,男生,百分比,,,,2.2%,7.5%,17.3%,40.3%,58.3%,80.2%,92.2%,7.8%
105,數學,必修部分,女生,數字,25303,24980,36.3,170,932,2910,9472,14939,20497,23294,1686
106,數學,必修部分,女生,百分比,,,,0.7%,3.7%,11.6%,37.9%,59.8%,82.1%,93.3%,6.7%
107,數學,必修部分,總數,數字,51106,50269,41.2,720,2830,7277,19673,29680,40772,46615,3654
108,數學,必修部分,總數,百分比,,,,1.4%,5.6%,14.5%,39.1%,59.0%,81.1%,92.7%,7.3%
109,數學,延伸部分 (微積分與統計),男生,數字,1576,1510,23.5,51,201,471,831,1086,1308,1426,84
110,數學,延伸部分 (微積分與統計),男生,百分比,,,,3.4%,13.3%,31.2%,55.0%,71.9%,86.6%,94.4%,5.6%
111,數學,延伸部分 (微積分與統計),女生,數字,1140,1101,17.6,24,137,350,613,820,985,1062,39
112,數學,延伸部分 (微積分與統計),女生,百分比,,,,2.2%,12.4%,31.8%,55.7%,74.5%,89.5%,96.5%,3.5%
113,數學,延伸部分 (微積分與統計),總數,數字,2716,2611,21.0,75,338,821,1444,1906,2293,2488,123
114,數學,延伸部分 (微積分與統計),總數,百分比,,,,2.9%,12.9%,31.4%,55.3%,73.0%,87.8%,95.3%,4.7%
115,數學,延伸部分 (代數與微積分),男生,數字,3136,3026,14.3,142,559,1345,1885,2490,2833,2981,45
116,數學,延伸部分 (代數與微積分),男生,百分比,,,,4.7%,18.5%,44.4%,62.3%,82.3%,93.6%,98.5%,1.5%
117,數學,延伸部分 (代數與微積分),女生,數字,1180,1139,12.8,32,123,450,676,941,1050,1122,17
118,數學,延伸部分 (代數與微積分),女生,百分比,,,,2.8%,10.8%,39.5%,59.4%,82.6%,92.2%,98.5%,1.5%
119,數學,延伸部分 (代數與微積分),總數,數字,4316,4165,13.9,174,682,1795,2561,3431,3883,4103,62
120,數學,延伸部分 (代數與微積分),總數,百分比,,,,4.2%,16.4%,43.1%,61.5%,82.4%,93.2%,98.5%,1.5%
121,音樂,,男生,數字,64,64,21.9,2,8,18,41,54,61,63,1
122,音樂,,男生,百分比,,,,3.1%,12.5%,28.1%,64.1%,84.4%,95.3%,98.4%,1.6%
123,音樂,,女生,數字,101,99,10.1,1,5,14,48,73,93,97,2
124,音樂,,女生,百分比,,,,1.0%,5.1%,14.1%,48.5%,73.7%,93.9%,98.0%,2.0%
125,音樂,,總數,數字,165,163,14.7,3,13,32,89,127,154,160,3
126,音樂,,總數,百分比,,,,1.8%,8.0%,19.6%,54.6%,77.9%,94.5%,98.2%,1.8%
127,體育,,男生,數字,743,728,90.2,1,4,13,60,247,498,659,69
128,體育,,男生,百分比,,,,0.1%,0.5%,1.8%,8.2%,33.9%,68.4%,90.5%,9.5%
129,體育,,女生,數字,215,213,87.3,0,4,4,26,95,165,204,9
130,體育,,女生,百分比,,,,0.0%,1.9%,1.9%,12.2%,44.6%,77.5%,95.8%,4.2%
131,體育,,總數,數字,958,941,89.6,1,8,17,86,342,663,863,78
132,體育,,總數,百分比,,,,0.1%,0.9%,1.8%,9.1%,36.3%,70.5%,91.7%,8.3%
133,物理,,男生,數字,7707,7575,29.0,241,948,2272,3902,5418,6762,7402,173
134,物理,,男生,百分比,,,,3.2%,12.5%,30.0%,51.5%,71.5%,89.3%,97.7%,2.3%
135,物理,,女生,數字,2864,2827,17.7,49,256,722,1386,2089,2570,2779,48
136,物理,,女生,百分比,,,,1.7%,9.1%,25.5%,49.0%,73.9%,90.9%,98.3%,1.7%
137,物理,,總數,數字,10571,10402,25.9,290,1204,2994,5288,7507,9332,10181,221
138,物理,,總數,百分比,,,,2.8%,11.6%,28.8%,50.8%,72.2%,89.7%,97.9%,2.1%
139,科學,組合科學 (生物、化學),男生,數字,263,238,87.8,0,2,6,29,92,164,211,27
140,科學,組合科學 (生物、化學),男生,百分比,,,,0.0%,0.8%,2.5%,12.2%,38.7%,68.9%,88.7%,11.3%
141,科學,組合科學 (生物、化學),女生,數字,214,207,60.9,0,2,3,44,98,160,193,14
142,科學,組合科學 (生物、化學),女生,百分比,,,,0.0%,1.0%,1.4%,21.3%,47.3%,77.3%,93.2%,6.8%
143,科學,組合科學 (生物、化學),總數,數字,477,445,75.3,0,4,9,73,190,324,404,41
144,科學,組合科學 (生物、化學),總數,百分比,,,,0.0%,0.9%,2.0%,16.4%,42.7%,72.8%,90.8%,9.2%
145,科學,組合科學 (生物、物理),男生,數字,34,34,100.0,0,1,1,5,19,27,32,2
146,科學,組合科學 (生物、物理),男生,百分比,,,,0.0%,2.9%,2.9%,14.7%,55.9%,79.4%,94.1%,5.9%
147,科學,組合科學 (生物、物理),女生,數字,12,12,100.0,0,0,0,1,3,10,12,0
