行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
91,通識教育,,男生,人數,22348,22016,,127,449,1117,5364,12780,18568,21229,787
92,通識教育,,男生,百分比,,,86.9,0.6%,2.0%,5.1%,24.4%,58.0%,84.3%,96.4%,3.6%
93,通識教育,,女生,人數,22063,21823,,182,778,2027,8317,15980,20201,21542,281
94,通識教育,,女生,百分比,,,79.9,0.8%,3.6%,9.3%,38.1%,73.2%,92.6%,98.7%,1.3%
95,通識教育,,總數,人數,44411,43839,,309,1227,3144,13681,28760,38769,42771,1068
96,通識教育,,總數,百分比,,,83.4,0.7%,2.8%,7.2%,31.2%,65.6%,88.4%,97.6%,2.4%
97,英語文學,,男生,人數,10,8,,0,0,0,2,5,5,6,2
98,英語文學,,男生,百分比,,,-,0.0%,0.0%,0.0%,25.0%,62.5%,62.5%,75.0%,25.0%
99,英語文學,,女生,人數,240,236,,5,19,47,135,199,222,232,4
100,英語文學,,女生,百分比,,,-,2.1%,8.1%,19.9%,57.2%,84.3%,94.1%,98.3%,1.7%
101,英語文學,,總數,人數,250,244,,5,19,47,137,204,227,238,6
102,英語文學,,總數,百分比,,,-,2.0%,7.8%,19.3%,56.1%,83.6%,93.0%,97.5%,2.5%
103,數學,必修部分,男生,人數,22368,21827,,444,1630,3588,8585,12591,17496,20038,1789
104,數學,必修部分,男生,百分比,,,43.2,2.0%,7.5%,16.4%,39.3%,57.7%,80.2%,91.8%,8.2%
105,數學,必修部分,女生,人數,22070,21709,,186,1005,2744,8411,12957,18158,20425,1284
106,數學,必修部分,女生,百分比,,,33.8,0.9%,4.6%,12.6%,38.7%,59.7%,83.6%,94.1%,5.9%
107,數學,必修部分,總數,人數,44438,43536,,630,2635,6332,16996,25548,35654,40463,3073
108,數學,必修部分,總數,百分比,,,38.5,1.4%,6.1%,14.5%,39.0%,58.7%,81.9%,92.9%,7.1%
109,數學,延伸部分 (微積分與統計),男生,人數,1285,1194,,32,120,311,620,844,1037,1139,55
110,數學,延伸部分 (微積分與統計),男生,百分比,,,22.6,2.7%,10.1%,26.0%,51.9%,70.7%,86.9%,95.4%,4.6%
111,數學,延伸部分 (微積分與統計),女生,人數,982,950,,30,121,275,512,703,833,907,43
112,數學,延伸部分 (微積分與統計),女生,百分比,,,18.5,3.2%,12.7%,28.9%,53.9%,74.0%,87.7%,95.5%,4.5%
113,數學,延伸部分 (微積分與統計),總數,人數,2267,2144,,62,241,586,1132,1547,1870,2046,98
