行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
35,中國語文,,總數,人數,48810,47706,,625,2289,5416,16018,30550,42421,46231,1475
36,中國語文,,總數,百分比,,,-,1.3%,4.8%,11.4%,33.6%,64.0%,88.9%,96.9%,3.1%
37,中國文學,,男生,人數,361,321,,3,15,36,89,187,263,298,23
38,中國文學,,男生,百分比,,,-,0.9%,4.7%,11.2%,27.7%,58.3%,81.9%,92.8%,7.2%
39,中國文學,,女生,人數,1129,1075,,22,75,180,434,780,981,1047,28
40,中國文學,,女生,百分比,,,-,2.0%,7.0%,16.7%,40.4%,72.6%,91.3%,97.4%,2.6%
41,中國文學,,總數,人數,1490,1396,,25,90,216,523,967,1244,1345,51
42,中國文學,,總數,百分比,,,-,1.8%,6.4%,15.5%,37.5%,69.3%,89.1%,96.3%,3.7%
43,設計與應用科技,,男生,人數,373,347,,2,7,17,63,128,273,315,32
44,設計與應用科技,,男生,百分比,,,89.3,0.6%,2.0%,4.9%,18.2%,36.9%,78.7%,90.8%,9.2%
45,設計與應用科技,,女生,人數,171,158,,1,4,9,29,58,127,148,10
46,設計與應用科技,,女生,百分比,,,88.0,0.6%,2.5%,5.7%,18.4%,36.7%,80.4%,93.7%,6.3%
47,設計與應用科技,,總數,人數,544,505,,3,11,26,92,186,400,463,42
48,設計與應用科技,,總數,百分比,,,88.9,0.6%,2.2%,5.1%,18.2%,36.8%,79.2%,91.7%,8.3%
49,經濟,,男生,人數,6720,6331,,157,546,1237,2880,4314,5398,5908,423
50,經濟,,男生,百分比,,,49.2,2.5%,8.6%,19.5%,45.5%,68.1%,85.3%,93.3%,6.7%
51,經濟,,女生,人數,7146,6840,,83,348,983,2885,4663,5951,6501,339
52,經濟,,女生,百分比,,,42.2,1.2%,5.1%,14.4%,42.2%,68.2%,87.0%,95.0%,5.0%
53,經濟,,總數,人數,13866,13171,,240,894,2220,5765,8977,11349,12409,762
54,經濟,,總數,百分比,,,45.5,1.8%,6.8%,16.9%,43.8%,68.2%,86.2%,94.2%,5.8%
55,英國語文,,男生,人數,26292,25575,,208,852,2199,6375,13084,19635,22909,2666
56,英國語文,,男生,百分比,,,-,0.8%,3.3%,8.6%,24.9%,51.2%,76.8%,89.6%,10.4%
57,英國語文,,女生,人數,24619,24066,,271,1028,2521,7057,13542,19601,22442,1624
58,英國語文,,女生,百分比,,,-,1.1%,4.3%,10.5%,29.3%,56.3%,81.4%,93.3%,6.7%
59,英國語文,,總數,人數,50911,49641,,479,1880,4720,13432,26626,39236,45351,4290
60,英國語文,,總數,百分比,,,-,1.0%,3.8%,9.5%,27.1%,53.6%,79.0%,91.4%,8.6%
61,倫理與宗教,,男生,人數,367,336,,0,6,24,85,190,293,307,29
62,倫理與宗教,,男生,百分比,,,94.0,0.0%,1.8%,7.1%,25.3%,56.5%,87.2%,91.4%,8.6%
63,倫理與宗教,,女生,人數,560,526,,10,29,61,196,395,501,514,12
64,倫理與宗教,,女生,百分比,,,96.8,1.9%,5.5%,11.6%,37.3%,75.1%,95.2%,97.7%,2.3%
65,倫理與宗教,,總數,人數,927,862,,10,35,85,281,585,794,821,41
66,倫理與宗教,,總數,百分比,,,95.7,1.2%,4.1%,9.9%,32.6%,67.9%,92.1%,95.2%,4.8%
67,地理,,男生,人數,4051,3824,,54,172,423,1251,2329,3235,3647,177
68,地理,,男生,百分比,,,65.9,1.4%,4.5%,11.1%,32.7%,60.9%,84.6%,95.4%,4.6%
69,地理,,女生,人數,4461,4287,,49,217,564,1627,2879,3827,4180,107
70,地理,,女生,百分比,,,56.9,1.1%,5.1%,13.2%,38.0%,67.2%,89.3%,97.5%,2.5%
71,地理,,總數,人數,8512,8111,,103,389,987,2878,5208,7062,7827,284
72,地理,,總數,百分比,,,61.2,1.3%,4.8%,12.2%,35.5%,64.2%,87.1%,96.5%,3.5%
73,健康管理與社會關懷,,男生,人數,636,586,,3,12,27,93,221,430,524,62
74,健康管理與社會關懷,,男生,百分比,,,95.2,0.5%,2.0%,4.6%,15.9%,37.7%,73.4%,89.4%,10.6%
75,健康管理與社會關懷,,女生,人數,1004,952,,8,20,46,199,497,800,901,51
76,健康管理與社會關懷,,女生,百分比,,,92.4,0.8%,2.1%,4.8%,20.9%,52.2%,84.0%,94.6%,5.4%
77,健康管理與社會關懷,,總數,人數,1640,1538,,11,32,73,292,718,1230,1425,113
78,健康管理與社會關懷,,總數,百分比,,,93.5,0.7%,2.1%,4.7%,19.0%,46.7%,80.0%,92.7%,7.3%
79,歷史,,男生,人數,2659,2470,,40,126,317,1029,1780,2281,2412,58
80,歷史,,男生,百分比,,,71.8,1.6%,5.1%,12.8%,41.7%,72.1%,92.3%,97.7%,2.3%
81,歷史,,女生,人數,3083,2935,,41,156,379,1336,2267,2769,2899,36
82,歷史,,女生,百分比,,,60.9,1.4%,5.3%,12.9%,45.5%,77.2%,94.3%,98.8%,1.2%
83,歷史,,總數,人數,5742,5405,,81,282,696,2365,4047,5050,5311,94
84,歷史,,總數,百分比,,,65.8,1.5%,5.2%,12.9%,43.8%,74.9%,93.4%,98.3%,1.7%
85,資訊及通訊科技,,男生,人數,4976,4718,,77,281,673,1662,2913,4049,4461,257
86,資訊及通訊科技,,男生,百分比,,,57.5,1.6%,6.0%,14.3%,35.2%,61.7%,85.8%,94.6%,5.4%
87,資訊及通訊科技,,女生,人數,1640,1562,,10,42,141,449,867,1328,1484,78
88,資訊及通訊科技,,女生,百分比,,,43.5,0.6%,2.7%,9.0%,28.7%,55.5%,85.0%,95.0%,5.0%
89,資訊及通訊科技,,總數,人數,6616,6280,,87,323,814,2111,3780,5377,5945,335
90,資訊及通訊科技,,總數,百分比,,,54.0,1.4%,5.1%,13.0%,33.6%,60.2%,85.6%,94.7%,5.3%
91,英語文學,,男生,人數,28,23,,0,0,1,4,11,18,19,4
92,英語文學,,男生,百分比,,,-,0.0%,0.0%,4.3%,17.4%,47.8%,78.3%,82.6%,17.4%
93,英語文學,,女生,人數,194,181,,6,19,47,102,157,171,175,6
94,英語文學,,女生,百分比,,,-,3.3%,10.5%,26.0%,56.4%,86.7%,94.5%,96.7%,3.3%
95,英語文學,,總數,人數,222,204,,6,19,48,106,168,189,194,10
96,英語文學,,總數,百分比,,,-,2.9%,9.3%,23.5%,52.0%,82.4%,92.6%,95.1%,4.9%
97,數學,必修部分,男生,人數,26908,25841,,655,2357,5049,11239,16268,21539,23795,2046
98,數學,必修部分,男生,百分比,,,45.9,2.5%,9.1%,19.5%,43.5%,63.0%,83.4%,92.1%,7.9%
99,數學,必修部分,女生,人數,24422,23654,,176,956,2744,8536,14079,19744,21953,1701
100,數學,必修部分,女生,百分比,,,40.3,0.7%,4.0%,11.6%,36.1%,59.5%,83.5%,92.8%,7.2%
101,數學,必修部分,總數,人數,51330,49495,,831,3313,7793,19775,30347,41283,45748,3747
102,數學,必修部分,總數,百分比,,,43.2,1.7%,6.7%,15.7%,40.0%,61.3%,83.4%,92.4%,7.6%
103,數學,延伸部分 (微積分與統計),男生,人數,2105,1914,,84,257,586,1011,1362,1676,1814,100
104,數學,延伸部分 (微積分與統計),男生,百分比,,,26.8,4.4%,13.4%,30.6%,52.8%,71.2%,87.6%,94.8%,5.2%
105,數學,延伸部分 (微積分與統計),女生,人數,1423,1313,,31,134,357,632,912,1127,1240,73
106,數學,延伸部分 (微積分與統計),女生,百分比,,,18.7,2.4%,10.2%,27.2%,48.1%,69.5%,85.8%,94.4%,5.6%
107,數學,延伸部分 (微積分與統計),總數,人數,3528,3227,,115,391,943,1643,2274,2803,3054,173
108,數學,延伸部分 (微積分與統計),總數,百分比,,,23.5,3.6%,12.1%,29.2%,50.9%,70.5%,86.9%,94.6%,5.4%
109,數學,延伸部分 (代數與微積分),男生,人數,5267,4857,,191,818,1831,2996,3932,4485,4726,131
110,數學,延伸部分 (代數與微積分),男生,百分比,,,24.2,3.9%,16.8%,37.7%,61.7%,81.0%,92.3%,97.3%,2.7%
111,數學,延伸部分 (代數與微積分),女生,人數,2133,1983,,37,154,505,1030,1496,1801,1934,49
112,數學,延伸部分 (代數與微積分),女生,百分比,,,26.3,1.9%,7.8%,25.5%,51.9%,75.4%,90.8%,97.5%,2.5%
113,數學,延伸部分 (代數與微積分),總數,人數,7400,6840,,228,972,2336,4026,5428,6286,6660,180
114,數學,延伸部分 (代數與微積分),總數,百分比,,,24.8,3.3%,14.2%,34.2%,58.9%,79.4%,91.9%,97.4%,2.6%
115,音樂,,男生,人數,91,90,,5,18,34,68,77,88,90,0
116,音樂,,男生,百分比,,,3.3,5.6%,20.0%,37.8%,75.6%,85.6%,97.8%,100.0%,0.0%
117,音樂,,女生,人數,92,90,,0,2,14,43,70,89,90,0
118,音樂,,女生,百分比,,,10.0,0.0%,2.2%,15.6%,47.8%,77.8%,98.9%,100.0%,0.0%
119,音樂,,總數,人數,183,180,,5,20,48,111,147,177,180,0
120,音樂,,總數,百分比,,,6.7,2.8%,11.1%,26.7%,61.7%,81.7%,98.3%,100.0%,0.0%
121,體育,,男生,人數,1068,1031,,2,11,30,142,436,725,918,113
122,體育,,男生,百分比,,,89.9,0.2%,1.1%,2.9%,13.8%,42.3%,70.3%,89.0%,11.0%
123,體育,,女生,人數,316,310,,2,7,15,67,151,233,279,31
124,體育,,女生,百分比,,,80.3,0.6%,2.3%,4.8%,21.6%,48.7%,75.2%,90.0%,10.0%
125,體育,,總數,人數,1384,1341,,4,18,45,209,587,958,1197,144
126,體育,,總數,百分比,,,87.7,0.3%,1.3%,3.4%,15.6%,43.8%,71.4%,89.3%,10.7%
127,物理,,男生,人數,8872,8363,,266,1050,2505,4335,6300,7574,8143,220
128,物理,,男生,百分比,,,38.3,3.2%,12.6%,30.0%,51.8%,75.3%,90.6%,97.4%,2.6%
129,物理,,女生,人數,3688,3453,,60,264,744,1530,2449,3073,3374,79
130,物理,,女生,百分比,,,34.1,1.7%,7.6%,21.5%,44.3%,70.9%,89.0%,97.7%,2.3%
131,物理,,總數,人數,12560,11816,,326,1314,3249,5865,8749,10647,11517,299
132,物理,,總數,百分比,,,37.1,2.8%,11.1%,27.5%,49.6%,74.0%,90.1%,97.5%,2.5%
133,科技與生活,食品科學與科技,男生,人數,47,43,,0,0,0,2,7,20,30,13
134,科技與生活,食品科學與科技,男生,百分比,,,97.7,0.0%,0.0%,0.0%,4.7%,16.3%,46.5%,69.8%,30.2%
135,科技與生活,食品科學與科技,女生,人數,139,136,,2,6,15,30,71,113,129,7
136,科技與生活,食品科學與科技,女生,百分比,,,69.1,1.5%,4.4%,11.0%,22.1%,52.2%,83.1%,94.9%,5.1%
137,科技與生活,食品科學與科技,總數,人數,186,179,,2,6,15,32,78,133,159,20
138,科技與生活,食品科學與科技,總數,百分比,,,76.0,1.1%,3.4%,8.4%,17.9%,43.6%,74.3%,88.8%,11.2%
139,科技與生活,服裝、成衣與紡織,男生,人數,10,8,,0,0,0,1,3,4,8,0
140,科技與生活,服裝、成衣與紡織,男生,百分比,,,100.0,0.0%,0.0%,0.0%,12.5%,37.5%,50.0%,100.0%,0.0%
141,科技與生活,服裝、成衣與紡織,女生,人數,39,38,,0,1,3,10,29,37,37,1
142,科技與生活,服裝、成衣與紡織,女生,百分比,,,68.4,0.0%,2.6%,7.9%,26.3%,76.3%,97.4%,97.4%,2.6%
143,科技與生活,服裝、成衣與紡織,總數,人數,49,46,,0,1,3,11,32,41,45,1
144,科技與生活,服裝、成衣與紡織,總數,百分比,,,73.9,0.0%,2.2%,6.5%,23.9%,69.6%,89.1%,97.8%,2.2%
145,旅遊與款待,,男生,人數,2057,1876,,8,30,67,238,582,1315,1649,227
146,旅遊與款待,,男生,百分比,,,90.9,0.4%,1.6%,3.6%,12.7%,31.0%,70.1%,87.9%,12.1%
147,旅遊與款待,,女生,人數,2602,2465,,15,64,156,492,1077,1961,2283,182
148,旅遊與款待,,女生,百分比,,,87.9,0.6%,2.6%,6.3%,20.0%,43.7%,79.6%,92.6%,7.4%
149,旅遊與款待,,總數,人數,4659,4341,,23,94,223,730,1659,3276,3932,409
150,旅遊與款待,,總數,百分比,,,89.2,0.5%,2.2%,5.1%,16.8%,38.2%,75.5%,90.6%,9.4%
151,視覺藝術,,男生,人數,939,887,,1,8,29,119,284,625,799,88
152,視覺藝術,,男生,百分比,,,84.4,0.1%,0.9%,3.3%,13.4%,32.0%,70.5%,90.1%,9.9%
153,視覺藝術,,女生,人數,3043,2968,,27,94,229,825,1730,2625,2850,118
154,視覺藝術,,女生,百分比,,,83.7,0.9%,3.2%,7.7%,27.8%,58.3%,88.4%,96.0%,4.0%
155,視覺藝術,,總數,人數,3982,3855,,28,102,258,944,2014,3250,3649,206
156,視覺藝術,,總數,百分比,,,83.9,0.7%,2.6%,6.7%,24.5%,52.2%,84.3%,94.7%,5.3%
157,所有甲類學科#（不包括公民與社會發展）,,男生,人數,135203,129412,,2343,8405,19390,46382,79047,108480,120999,8413
158,所有甲類學科#（不包括公民與社會發展）,,男生,百分比,,,49.9,1.8%,6.5%,15.0%,35.8%,61.1%,83.8%,93.5%,6.5%
159,所有甲類學科#（不包括公民與社會發展）,,女生,人數,126594,122170,,1566,6386,16332,45540,79256,106492,116589,5581
160,所有甲類學科#（不包括公民與社會發展）,,女生,百分比,,,46.5,1.3%,5.2%,13.4%,37.3%,64.9%,87.2%,95.4%,4.6%
161,所有甲類學科#（不包括公民與社會發展）,,總數,人數,261797,251582,,3909,14791,35722,91922,158303,214972,237588,13994
162,所有甲類學科#（不包括公民與社會發展）,,總數,百分比,,,48.3,1.6%,5.9%,14.2%,36.5%,62.9%,85.4%,94.4%,5.6%
