行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),達標並表現優異(I)或以上,達標或以上,未達標
49,應用科學,實用心理學,男生,人數,59,56,4,13,54,2
50,應用科學,實用心理學,男生,百分比,,,7.1%,23.2%,96.4%,3.6%
51,應用科學,實用心理學,女生,人數,107,105,17,43,103,2
52,應用科學,實用心理學,女生,百分比,,,16.2%,41.0%,98.1%,1.9%
53,應用科學,實用心理學,總數,人數,166,161,21,56,157,4
54,應用科學,實用心理學,總數,百分比,,,13.0%,34.8%,97.5%,2.5%
55,應用科學,復康護理實務,男生,人數,37,36,2,7,33,3
56,應用科學,復康護理實務,男生,百分比,,,5.6%,19.4%,91.7%,8.3%
57,應用科學,復康護理實務,女生,人數,39,38,5,16,37,1
58,應用科學,復康護理實務,女生,百分比,,,13.2%,42.1%,97.4%,2.6%
59,應用科學,復康護理實務,總數,人數,76,74,7,23,70,4
60,應用科學,復康護理實務,總數,百分比,,,9.5%,31.1%,94.6%,5.4%
61,商業、管理及法律,電子商務會計,男生,人數,28,28,4,9,26,2
62,商業、管理及法律,電子商務會計,男生,百分比,,,14.3%,32.1%,92.9%,7.1%
63,商業、管理及法律,電子商務會計,女生,人數,33,33,3,10,33,0
64,商業、管理及法律,電子商務會計,女生,百分比,,,9.1%,30.3%,100.0%,0.0%
65,商業、管理及法律,電子商務會計,總數,人數,61,61,7,19,59,2
66,商業、管理及法律,電子商務會計,總數,百分比,,,11.5%,31.1%,96.7%,3.3%
67,商業、管理及法律,人工智能－商業應用,男生,人數,9,9,1,5,9,0
68,商業、管理及法律,人工智能－商業應用,男生,百分比,,,11.1%,55.6%,100.0%,0.0%
69,商業、管理及法律,人工智能－商業應用,女生,人數,2,2,0,0,2,0
70,商業、管理及法律,人工智能－商業應用,女生,百分比,,,0.0%,0.0%,100.0%,0.0%
71,商業、管理及法律,人工智能－商業應用,總數,人數,11,11,1,5,11,0
72,商業、管理及法律,人工智能－商業應用,總數,百分比,,,9.1%,45.5%,100.0%,0.0%
73,商業、管理及法律,商業數據應用,男生,人數,6,6,0,1,5,1
74,商業、管理及法律,商業數據應用,男生,百分比,,,0.0%,16.7%,83.3%,16.7%
75,商業、管理及法律,商業數據應用,女生,人數,2,2,1,1,2,0
76,商業、管理及法律,商業數據應用,女生,百分比,,,50.0%,50.0%,100.0%,0.0%
77,商業、管理及法律,商業數據應用,總數,人數,8,8,1,2,7,1
78,商業、管理及法律,商業數據應用,總數,百分比,,,12.5%,25.0%,87.5%,12.5%
79,商業、管理及法律,金融科技入門,男生,人數,10,10,3,5,10,0
80,商業、管理及法律,金融科技入門,男生,百分比,,,30.0%,50.0%,100.0%,0.0%
81,商業、管理及法律,金融科技入門,女生,人數,5,5,1,1,5,0
82,商業、管理及法律,金融科技入門,女生,百分比,,,20.0%,20.0%,100.0%,0.0%
83,商業、管理及法律,金融科技入門,總數,人數,15,15,4,6,15,0
84,商業、管理及法律,金融科技入門,總數,百分比,,,26.7%,40.0%,100.0%,0.0%
85,商業、管理及法律,香港執法實務,男生,人數,14,13,0,0,13,0
86,商業、管理及法律,香港執法實務,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
87,商業、管理及法律,香港執法實務,女生,人數,13,12,0,0,11,1
88,商業、管理及法律,香港執法實務,女生,百分比,,,0.0%,0.0%,91.7%,8.3%
89,商業、管理及法律,香港執法實務,總數,人數,27,25,0,0,24,1
90,商業、管理及法律,香港執法實務,總數,百分比,,,0.0%,0.0%,96.0%,4.0%
91,商業、管理及法律,市場營銷及網上推廣,男生,人數,19,19,2,3,19,0
92,商業、管理及法律,市場營銷及網上推廣,男生,百分比,,,10.5%,15.8%,100.0%,0.0%
93,商業、管理及法律,市場營銷及網上推廣,女生,人數,32,31,3,14,31,0
94,商業、管理及法律,市場營銷及網上推廣,女生,百分比,,,9.7%,45.2%,100.0%,0.0%
95,商業、管理及法律,市場營銷及網上推廣,總數,人數,51,50,5,17,50,0
96,商業、管理及法律,市場營銷及網上推廣,總數,百分比,,,10.0%,34.0%,100.0%,0.0%
97,創意學習,電腦遊戲及動畫設計,男生,人數,239,235,10,51,199,36
98,創意學習,電腦遊戲及動畫設計,男生,百分比,,,4.3%,21.7%,84.7%,15.3%
99,創意學習,電腦遊戲及動畫設計,女生,人數,97,95,21,40,86,9
100,創意學習,電腦遊戲及動畫設計,女生,百分比,,,22.1%,42.1%,90.5%,9.5%
101,創意學習,電腦遊戲及動畫設計,總數,人數,336,330,31,91,285,45
102,創意學習,電腦遊戲及動畫設計,總數,百分比,,,9.4%,27.6%,86.4%,13.6%
103,創意學習,數碼漫畫設計與製作,男生,人數,40,39,1,6,38,1
104,創意學習,數碼漫畫設計與製作,男生,百分比,,,2.6%,15.4%,97.4%,2.6%
105,創意學習,數碼漫畫設計與製作,女生,人數,110,108,10,39,108,0
106,創意學習,數碼漫畫設計與製作,女生,百分比,,,9.3%,36.1%,100.0%,0.0%
107,創意學習,數碼漫畫設計與製作,總數,人數,150,147,11,45,146,1
108,創意學習,數碼漫畫設計與製作,總數,百分比,,,7.5%,30.6%,99.3%,0.7%
109,創意學習,時裝形象設計,男生,人數,51,48,1,4,42,6
110,創意學習,時裝形象設計,男生,百分比,,,2.1%,8.3%,87.5%,12.5%
111,創意學習,時裝形象設計,女生,人數,153,149,9,39,147,2
112,創意學習,時裝形象設計,女生,百分比,,,6.0%,26.2%,98.7%,1.3%
113,創意學習,時裝形象設計,總數,人數,204,197,10,43,189,8
114,創意學習,時裝形象設計,總數,百分比,,,5.1%,21.8%,95.9%,4.1%
115,創意學習,室內與展覽設計,男生,人數,117,96,4,14,68,28
116,創意學習,室內與展覽設計,男生,百分比,,,4.2%,14.6%,70.8%,29.2%
117,創意學習,室內與展覽設計,女生,人數,100,86,9,22,74,12
118,創意學習,室內與展覽設計,女生,百分比,,,10.5%,25.6%,86.0%,14.0%
119,創意學習,室內與展覽設計,總數,人數,217,182,13,36,142,40
120,創意學習,室內與展覽設計,總數,百分比,,,7.1%,19.8%,78.0%,22.0%
121,創意學習,數碼年代－珠寶設計,男生,人數,3,3,0,2,3,0
122,創意學習,數碼年代－珠寶設計,男生,百分比,,,0.0%,66.7%,100.0%,0.0%
123,創意學習,數碼年代－珠寶設計,女生,人數,14,14,1,4,12,2
124,創意學習,數碼年代－珠寶設計,女生,百分比,,,7.1%,28.6%,85.7%,14.3%
125,創意學習,數碼年代－珠寶設計,總數,人數,17,17,1,6,15,2
126,創意學習,數碼年代－珠寶設計,總數,百分比,,,5.9%,35.3%,88.2%,11.8%
127,創意學習,流行音樂製作,男生,人數,63,59,10,17,57,2
128,創意學習,流行音樂製作,男生,百分比,,,16.9%,28.8%,96.6%,3.4%
129,創意學習,流行音樂製作,女生,人數,74,72,12,34,68,4
130,創意學習,流行音樂製作,女生,百分比,,,16.7%,47.2%,94.4%,5.6%
131,創意學習,流行音樂製作,總數,人數,137,131,22,51,125,6
132,創意學習,流行音樂製作,總數,百分比,,,16.8%,38.9%,95.4%,4.6%
133,創意學習,舞出新機－舞蹈藝術,男生,人數,3,3,2,3,3,0
134,創意學習,舞出新機－舞蹈藝術,男生,百分比,,,66.7%,100.0%,100.0%,0.0%
135,創意學習,舞出新機－舞蹈藝術,女生,人數,57,56,4,19,56,0
136,創意學習,舞出新機－舞蹈藝術,女生,百分比,,,7.1%,33.9%,100.0%,0.0%
137,創意學習,舞出新機－舞蹈藝術,總數,人數,60,59,6,22,59,0
138,創意學習,舞出新機－舞蹈藝術,總數,百分比,,,10.2%,37.3%,100.0%,0.0%
139,創意學習,由戲開始．劇藝縱橫,男生,人數,17,17,5,8,17,0
140,創意學習,由戲開始．劇藝縱橫,男生,百分比,,,29.4%,47.1%,100.0%,0.0%
141,創意學習,由戲開始．劇藝縱橫,女生,人數,42,41,8,23,41,0
142,創意學習,由戲開始．劇藝縱橫,女生,百分比,,,19.5%,56.1%,100.0%,0.0%
143,創意學習,由戲開始．劇藝縱橫,總數,人數,59,58,13,31,58,0
144,創意學習,由戲開始．劇藝縱橫,總數,百分比,,,22.4%,53.4%,100.0%,0.0%
145,工程及生產,人工智能與機械人,男生,人數,28,25,7,10,21,4
146,工程及生產,人工智能與機械人,男生,百分比,,,28.0%,40.0%,84.0%,16.0%
147,工程及生產,人工智能與機械人,女生,人數,8,8,2,8,8,0
148,工程及生產,人工智能與機械人,女生,百分比,,,25.0%,100.0%,100.0%,0.0%
149,工程及生產,人工智能與機械人,總數,人數,36,33,9,18,29,4
150,工程及生產,人工智能與機械人,總數,百分比,,,27.3%,54.5%,87.9%,12.1%
151,工程及生產,航空學,男生,人數,106,96,4,14,93,3
152,工程及生產,航空學,男生,百分比,,,4.2%,14.6%,96.9%,3.1%
153,工程及生產,航空學,女生,人數,51,49,1,4,47,2
154,工程及生產,航空學,女生,百分比,,,2.0%,8.2%,95.9%,4.1%
155,工程及生產,航空學,總數,人數,157,145,5,18,140,5
156,工程及生產,航空學,總數,百分比,,,3.4%,12.4%,96.6%,3.4%
157,工程及生產,電腦鑑證科技,男生,人數,0,0,-,-,-,-
158,工程及生產,電腦鑑證科技,男生,百分比,,,-,-,-,-
159,工程及生產,電腦鑑證科技,女生,人數,0,0,-,-,-,-
160,工程及生產,電腦鑑證科技,女生,百分比,,,-,-,-,-
161,工程及生產,電腦鑑證科技,總數,人數,0,0,-,-,-,-
162,工程及生產,電腦鑑證科技,總數,百分比,,,-,-,-,-
163,工程及生產,智能數碼建築,男生,人數,26,26,1,5,26,0
164,工程及生產,智能數碼建築,男生,百分比,,,3.8%,19.2%,100.0%,0.0%
165,工程及生產,智能數碼建築,女生,人數,6,6,0,0,6,0
166,工程及生產,智能數碼建築,女生,百分比,,,0.0%,0.0%,100.0%,0.0%
167,工程及生產,智能數碼建築,總數,人數,32,32,1,5,32,0
168,工程及生產,智能數碼建築,總數,百分比,,,3.1%,15.6%,100.0%,0.0%
169,工程及生產,電機及能源工程,男生,人數,65,64,3,10,64,0
170,工程及生產,電機及能源工程,男生,百分比,,,4.7%,15.6%,100.0%,0.0%
171,工程及生產,電機及能源工程,女生,人數,2,2,0,1,2,0
172,工程及生產,電機及能源工程,女生,百分比,,,0.0%,50.0%,100.0%,0.0%
173,工程及生產,電機及能源工程,總數,人數,67,66,3,11,66,0
174,工程及生產,電機及能源工程,總數,百分比,,,4.5%,16.7%,100.0%,0.0%
175,工程及生產,電競科技,男生,人數,62,60,1,13,55,5
176,工程及生產,電競科技,男生,百分比,,,1.7%,21.7%,91.7%,8.3%
177,工程及生產,電競科技,女生,人數,12,11,0,1,10,1
178,工程及生產,電競科技,女生,百分比,,,0.0%,9.1%,90.9%,9.1%
179,工程及生產,電競科技,總數,人數,74,71,1,14,65,6
180,工程及生產,電競科技,總數,百分比,,,1.4%,19.7%,91.5%,8.5%
181,工程及生產,鐵路學,男生,人數,69,69,1,11,60,9
182,工程及生產,鐵路學,男生,百分比,,,1.4%,15.9%,87.0%,13.0%
183,工程及生產,鐵路學,女生,人數,6,6,0,1,6,0
184,工程及生產,鐵路學,女生,百分比,,,0.0%,16.7%,100.0%,0.0%
185,工程及生產,鐵路學,總數,人數,75,75,1,12,66,9
186,工程及生產,鐵路學,總數,百分比,,,1.3%,16.0%,88.0%,12.0%
187,工程及生產,資訊科技精要,男生,人數,118,115,5,24,97,18
188,工程及生產,資訊科技精要,男生,百分比,,,4.3%,20.9%,84.3%,15.7%
189,工程及生產,資訊科技精要,女生,人數,36,36,5,8,32,4
190,工程及生產,資訊科技精要,女生,百分比,,,13.9%,22.2%,88.9%,11.1%
191,工程及生產,資訊科技精要,總數,人數,154,151,10,32,129,22
192,工程及生產,資訊科技精要,總數,百分比,,,6.6%,21.2%,85.4%,14.6%
193,媒體及傳意,應用日語及日本文化,男生,人數,78,67,4,23,32,35
194,媒體及傳意,應用日語及日本文化,男生,百分比,,,6.0%,34.3%,47.8%,52.2%
195,媒體及傳意,應用日語及日本文化,女生,人數,60,58,9,32,50,8
196,媒體及傳意,應用日語及日本文化,女生,百分比,,,15.5%,55.2%,86.2%,13.8%
197,媒體及傳意,應用日語及日本文化,總數,人數,138,125,13,55,82,43
198,媒體及傳意,應用日語及日本文化,總數,百分比,,,10.4%,44.0%,65.6%,34.4%
199,媒體及傳意,應用學習 (職業英語) – 英文傳意,男生,人數,138,130,15,40,105,25
200,媒體及傳意,應用學習 (職業英語) – 英文傳意,男生,百分比,,,11.5%,30.8%,80.8%,19.2%
201,媒體及傳意,應用學習 (職業英語) – 英文傳意,女生,人數,113,103,9,38,87,16
202,媒體及傳意,應用學習 (職業英語) – 英文傳意,女生,百分比,,,8.7%,36.9%,84.5%,15.5%
203,媒體及傳意,應用學習 (職業英語) – 英文傳意,總數,人數,251,233,24,78,192,41
204,媒體及傳意,應用學習 (職業英語) – 英文傳意,總數,百分比,,,10.3%,33.5%,82.4%,17.6%
205,媒體及傳意,應用學習 (職業英語) – 商用服務英語,男生,人數,78,77,7,19,54,23
206,媒體及傳意,應用學習 (職業英語) – 商用服務英語,男生,百分比,,,9.1%,24.7%,70.1%,29.9%
207,媒體及傳意,應用學習 (職業英語) – 商用服務英語,女生,人數,45,44,9,18,37,7
208,媒體及傳意,應用學習 (職業英語) – 商用服務英語,女生,百分比,,,20.5%,40.9%,84.1%,15.9%
209,媒體及傳意,應用學習 (職業英語) – 商用服務英語,總數,人數,123,121,16,37,91,30
210,媒體及傳意,應用學習 (職業英語) – 商用服務英語,總數,百分比,,,13.2%,30.6%,75.2%,24.8%
211,媒體及傳意,應用學習 (職業英語) – 服務業專業英語,男生,人數,210,205,22,74,164,41
212,媒體及傳意,應用學習 (職業英語) – 服務業專業英語,男生,百分比,,,10.7%,36.1%,80.0%,20.0%
213,媒體及傳意,應用學習 (職業英語) – 服務業專業英語,女生,人數,194,187,20,69,167,20
214,媒體及傳意,應用學習 (職業英語) – 服務業專業英語,女生,百分比,,,10.7%,36.9%,89.3%,10.7%
215,媒體及傳意,應用學習 (職業英語) – 服務業專業英語,總數,人數,404,392,42,143,331,61
216,媒體及傳意,應用學習 (職業英語) – 服務業專業英語,總數,百分比,,,10.7%,36.5%,84.4%,15.6%
217,媒體及傳意,創意英語 – 商務與媒體,男生,人數,34,32,2,14,15,17
218,媒體及傳意,創意英語 – 商務與媒體,男生,百分比,,,6.3%,43.8%,46.9%,53.1%
219,媒體及傳意,創意英語 – 商務與媒體,女生,人數,8,8,4,6,6,2
220,媒體及傳意,創意英語 – 商務與媒體,女生,百分比,,,50.0%,75.0%,75.0%,25.0%
221,媒體及傳意,創意英語 – 商務與媒體,總數,人數,42,40,6,20,21,19
222,媒體及傳意,創意英語 – 商務與媒體,總數,百分比,,,15.0%,50.0%,52.5%,47.5%
223,媒體及傳意,創意英語 – 公關與營銷,男生,人數,16,16,0,3,15,1
224,媒體及傳意,創意英語 – 公關與營銷,男生,百分比,,,0.0%,18.8%,93.8%,6.3%
225,媒體及傳意,創意英語 – 公關與營銷,女生,人數,10,10,2,5,10,0
226,媒體及傳意,創意英語 – 公關與營銷,女生,百分比,,,20.0%,50.0%,100.0%,0.0%
227,媒體及傳意,創意英語 – 公關與營銷,總數,人數,26,26,2,8,25,1
228,媒體及傳意,創意英語 – 公關與營銷,總數,百分比,,,7.7%,30.8%,96.2%,3.8%
229,媒體及傳意,數碼品牌傳播,男生,人數,29,29,0,1,26,3
230,媒體及傳意,數碼品牌傳播,男生,百分比,,,0.0%,3.4%,89.7%,10.3%
231,媒體及傳意,數碼品牌傳播,女生,人數,24,24,1,7,23,1
232,媒體及傳意,數碼品牌傳播,女生,百分比,,,4.2%,29.2%,95.8%,4.2%
233,媒體及傳意,數碼品牌傳播,總數,人數,53,53,1,8,49,4
234,媒體及傳意,數碼品牌傳播,總數,百分比,,,1.9%,15.1%,92.5%,7.5%
235,媒體及傳意,數碼媒體及電台製作,男生,人數,63,62,1,3,57,5
236,媒體及傳意,數碼媒體及電台製作,男生,百分比,,,1.6%,4.8%,91.9%,8.1%
237,媒體及傳意,數碼媒體及電台製作,女生,人數,32,32,6,17,32,0
238,媒體及傳意,數碼媒體及電台製作,女生,百分比,,,18.8%,53.1%,100.0%,0.0%
239,媒體及傳意,數碼媒體及電台製作,總數,人數,95,94,7,20,89,5
240,媒體及傳意,數碼媒體及電台製作,總數,百分比,,,7.4%,21.3%,94.7%,5.3%
241,媒體及傳意,生活日語及日本文化,男生,人數,93,76,8,25,65,11
242,媒體及傳意,生活日語及日本文化,男生,百分比,,,10.5%,32.9%,85.5%,14.5%
243,媒體及傳意,生活日語及日本文化,女生,人數,64,55,8,23,48,7
244,媒體及傳意,生活日語及日本文化,女生,百分比,,,14.5%,41.8%,87.3%,12.7%
245,媒體及傳意,生活日語及日本文化,總數,人數,157,131,16,48,113,18
246,媒體及傳意,生活日語及日本文化,總數,百分比,,,12.2%,36.6%,86.3%,13.7%
247,媒體及傳意,電影及超媒體,男生,人數,67,65,7,17,55,10
248,媒體及傳意,電影及超媒體,男生,百分比,,,10.8%,26.2%,84.6%,15.4%
249,媒體及傳意,電影及超媒體,女生,人數,59,57,7,25,51,6
250,媒體及傳意,電影及超媒體,女生,百分比,,,12.3%,43.9%,89.5%,10.5%
251,媒體及傳意,電影及超媒體,總數,人數,126,122,14,42,106,16
252,媒體及傳意,電影及超媒體,總數,百分比,,,11.5%,34.4%,86.9%,13.1%
253,媒體及傳意,韓國語文及文化,男生,人數,50,46,0,4,15,31
254,媒體及傳意,韓國語文及文化,男生,百分比,,,0.0%,8.7%,32.6%,67.4%
255,媒體及傳意,韓國語文及文化,女生,人數,98,89,10,33,71,18
256,媒體及傳意,韓國語文及文化,女生,百分比,,,11.2%,37.1%,79.8%,20.2%
257,媒體及傳意,韓國語文及文化,總數,人數,148,135,10,37,86,49
258,媒體及傳意,韓國語文及文化,總數,百分比,,,7.4%,27.4%,63.7%,36.3%
259,媒體及傳意,多媒體故事,男生,人數,54,53,1,7,51,2
260,媒體及傳意,多媒體故事,男生,百分比,,,1.9%,13.2%,96.2%,3.8%
261,媒體及傳意,多媒體故事,女生,人數,34,34,4,6,33,1
262,媒體及傳意,多媒體故事,女生,百分比,,,11.8%,17.6%,97.1%,2.9%
263,媒體及傳意,多媒體故事,總數,人數,88,87,5,13,84,3
264,媒體及傳意,多媒體故事,總數,百分比,,,5.7%,14.9%,96.6%,3.4%
265,媒體及傳意,公關及多媒體傳訊,男生,人數,71,68,4,19,48,20
266,媒體及傳意,公關及多媒體傳訊,男生,百分比,,,5.9%,27.9%,70.6%,29.4%
267,媒體及傳意,公關及多媒體傳訊,女生,人數,43,40,8,18,38,2
268,媒體及傳意,公關及多媒體傳訊,女生,百分比,,,20.0%,45.0%,95.0%,5.0%
269,媒體及傳意,公關及多媒體傳訊,總數,人數,114,108,12,37,86,22
270,媒體及傳意,公關及多媒體傳訊,總數,百分比,,,11.1%,34.3%,79.6%,20.4%
271,媒體及傳意,實用翻譯(漢英),男生,人數,4,3,2,3,3,0
272,媒體及傳意,實用翻譯(漢英),男生,百分比,,,66.7%,100.0%,100.0%,0.0%
273,媒體及傳意,實用翻譯(漢英),女生,人數,7,6,1,5,6,0
274,媒體及傳意,實用翻譯(漢英),女生,百分比,,,16.7%,83.3%,100.0%,0.0%
275,媒體及傳意,實用翻譯(漢英),總數,人數,11,9,3,8,9,0
276,媒體及傳意,實用翻譯(漢英),總數,百分比,,,33.3%,88.9%,100.0%,0.0%
277,服務,機場客運大樓運作,男生,人數,33,32,3,6,29,3
278,服務,機場客運大樓運作,男生,百分比,,,9.4%,18.8%,90.6%,9.4%
279,服務,機場客運大樓運作,女生,人數,14,12,0,1,11,1
280,服務,機場客運大樓運作,女生,百分比,,,0.0%,8.3%,91.7%,8.3%
281,服務,機場客運大樓運作,總數,人數,47,44,3,7,40,4
282,服務,機場客運大樓運作,總數,百分比,,,6.8%,15.9%,90.9%,9.1%
283,服務,幼兒發展,男生,人數,33,32,2,2,31,1
284,服務,幼兒發展,男生,百分比,,,6.3%,6.3%,96.9%,3.1%
285,服務,幼兒發展,女生,人數,80,75,5,24,75,0
286,服務,幼兒發展,女生,百分比,,,6.7%,32.0%,100.0%,0.0%
287,服務,幼兒發展,總數,人數,113,107,7,26,106,1
288,服務,幼兒發展,總數,百分比,,,6.5%,24.3%,99.1%,0.9%
289,服務,幼兒教育,男生,人數,32,31,2,4,29,2
290,服務,幼兒教育,男生,百分比,,,6.5%,12.9%,93.5%,6.5%
291,服務,幼兒教育,女生,人數,149,144,8,34,140,4
292,服務,幼兒教育,女生,百分比,,,5.6%,23.6%,97.2%,2.8%
293,服務,幼兒教育,總數,人數,181,175,10,38,169,6
294,服務,幼兒教育,總數,百分比,,,5.7%,21.7%,96.6%,3.4%
295,服務,美容學基礎,男生,人數,7,6,0,0,5,1
296,服務,美容學基礎,男生,百分比,,,0.0%,0.0%,83.3%,16.7%
297,服務,美容學基礎,女生,人數,83,78,5,18,69,9
298,服務,美容學基礎,女生,百分比,,,6.4%,23.1%,88.5%,11.5%
299,服務,美容學基礎,總數,人數,90,84,5,18,74,10
300,服務,美容學基礎,總數,百分比,,,6.0%,21.4%,88.1%,11.9%
301,服務,酒店服務營運,男生,人數,45,44,0,4,43,1
302,服務,酒店服務營運,男生,百分比,,,0.0%,9.1%,97.7%,2.3%
303,服務,酒店服務營運,女生,人數,46,46,3,14,44,2
304,服務,酒店服務營運,女生,百分比,,,6.5%,30.4%,95.7%,4.3%
305,服務,酒店服務營運,總數,人數,91,90,3,18,87,3
306,服務,酒店服務營運,總數,百分比,,,3.3%,20.0%,96.7%,3.3%
307,服務,酒店營運,男生,人數,78,70,1,6,62,8
308,服務,酒店營運,男生,百分比,,,1.4%,8.6%,88.6%,11.4%
309,服務,酒店營運,女生,人數,50,47,2,9,46,1
310,服務,酒店營運,女生,百分比,,,4.3%,19.1%,97.9%,2.1%
311,服務,酒店營運,總數,人數,128,117,3,15,108,9
312,服務,酒店營運,總數,百分比,,,2.6%,12.8%,92.3%,7.7%
313,服務,新派東南亞菜,男生,人數,10,10,0,1,9,1
314,服務,新派東南亞菜,男生,百分比,,,0.0%,10.0%,90.0%,10.0%
315,服務,新派東南亞菜,女生,人數,5,4,0,0,4,0
316,服務,新派東南亞菜,女生,百分比,,,0.0%,0.0%,100.0%,0.0%
317,服務,新派東南亞菜,總數,人數,15,14,0,1,13,1
318,服務,新派東南亞菜,總數,百分比,,,0.0%,7.1%,92.9%,7.1%
319,服務,甜品及咖啡店營運,男生,人數,417,393,6,32,329,64
320,服務,甜品及咖啡店營運,男生,百分比,,,1.5%,8.1%,83.7%,16.3%
321,服務,甜品及咖啡店營運,女生,人數,456,443,52,142,432,11
322,服務,甜品及咖啡店營運,女生,百分比,,,11.7%,32.1%,97.5%,2.5%
323,服務,甜品及咖啡店營運,總數,人數,873,836,58,174,761,75
324,服務,甜品及咖啡店營運,總數,百分比,,,6.9%,20.8%,91.0%,9.0%
325,服務,西式食品製作,男生,人數,232,218,7,27,211,7
326,服務,西式食品製作,男生,百分比,,,3.2%,12.4%,96.8%,3.2%
327,服務,西式食品製作,女生,人數,198,189,15,45,184,5
328,服務,西式食品製作,女生,百分比,,,7.9%,23.8%,97.4%,2.6%
329,服務,西式食品製作,總數,人數,430,407,22,72,395,12
330,服務,西式食品製作,總數,百分比,,,5.4%,17.7%,97.1%,2.9%
331,所有乙類學科 (不包括應用學習中文),,男生,人數,3621,3415,198,691,2898,517
332,所有乙類學科 (不包括應用學習中文),,男生,百分比,,,5.8%,20.2%,84.9%,15.1%
333,所有乙類學科 (不包括應用學習中文),,女生,人數,3457,3304,386,1161,3103,201
334,所有乙類學科 (不包括應用學習中文),,女生,百分比,,,11.7%,35.1%,93.9%,6.1%
335,所有乙類學科 (不包括應用學習中文),,總數,人數,7078,6719,584,1852,6001,718
336,所有乙類學科 (不包括應用學習中文),,總數,百分比,,,8.7%,27.6%,89.3%,10.7%
