行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),達標並表現優異(I)或以上,達標或以上,未達標
168,媒體及傳意,雜誌編輯與製作,總數,百分比,,,20.0%,53.3%,100.0%,0.0%
169,媒體及傳意,公關及傳訊,男生,人數,5,3,0,0,3,0
170,媒體及傳意,公關及傳訊,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
171,媒體及傳意,公關及傳訊,女生,人數,10,7,2,5,7,0
172,媒體及傳意,公關及傳訊,女生,百分比,,,28.6%,71.4%,100.0%,0.0%
173,媒體及傳意,公關及傳訊,總數,人數,15,10,2,5,10,0
174,媒體及傳意,公關及傳訊,總數,百分比,,,20.0%,50.0%,100.0%,0.0%
175,服務,幼兒發展,男生,人數,1,1,0,0,1,0
176,服務,幼兒發展,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
177,服務,幼兒發展,女生,人數,49,47,4,16,47,0
178,服務,幼兒發展,女生,百分比,,,8.5%,34.0%,100.0%,0.0%
179,服務,幼兒發展,總數,人數,50,48,4,16,48,0
180,服務,幼兒發展,總數,百分比,,,8.3%,33.3%,100.0%,0.0%
181,服務,幼兒教育,男生,人數,11,10,0,0,8,2
182,服務,幼兒教育,男生,百分比,,,0.0%,0.0%,80.0%,20.0%
183,服務,幼兒教育,女生,人數,136,134,14,52,132,2
184,服務,幼兒教育,女生,百分比,,,10.4%,38.8%,98.5%,1.5%
185,服務,幼兒教育,總數,人數,147,144,14,52,140,4
186,服務,幼兒教育,總數,百分比,,,9.7%,36.1%,97.2%,2.8%
187,服務,美容學基礎,男生,人數,8,4,0,0,4,0
188,服務,美容學基礎,男生,百分比,,,0.0%,0.0%,100.0%,0.0%
189,服務,美容學基礎,女生,人數,125,104,5,27,101,3
190,服務,美容學基礎,女生,百分比,,,4.8%,26.0%,97.1%,2.9%
191,服務,美容學基礎,總數,人數,133,108,5,27,105,3
192,服務,美容學基礎,總數,百分比,,,4.6%,25.0%,97.2%,2.8%
193,服務,酒店服務營運,男生,人數,43,38,3,6,35,3
194,服務,酒店服務營運,男生,百分比,,,7.9%,15.8%,92.1%,7.9%
195,服務,酒店服務營運,女生,人數,73,70,5,19,67,3
196,服務,酒店服務營運,女生,百分比,,,7.1%,27.1%,95.7%,4.3%
197,服務,酒店服務營運,總數,人數,116,108,8,25,102,6
198,服務,酒店服務營運,總數,百分比,,,7.4%,23.1%,94.4%,5.6%
199,服務,酒店營運,男生,人數,48,46,2,8,42,4
200,服務,酒店營運,男生,百分比,,,4.3%,17.4%,91.3%,8.7%
201,服務,酒店營運,女生,人數,40,40,3,15,40,0
202,服務,酒店營運,女生,百分比,,,7.5%,37.5%,100.0%,0.0%
203,服務,酒店營運,總數,人數,88,86,5,23,82,4
204,服務,酒店營運,總數,百分比,,,5.8%,26.7%,95.3%,4.7%
205,服務,甜品及咖啡店營運,男生,人數,82,71,1,9,71,0
206,服務,甜品及咖啡店營運,男生,百分比,,,1.4%,12.7%,100.0%,0.0%
207,服務,甜品及咖啡店營運,女生,人數,141,136,10,47,133,3
208,服務,甜品及咖啡店營運,女生,百分比,,,7.4%,34.6%,97.8%,2.2%
209,服務,甜品及咖啡店營運,總數,人數,223,207,11,56,204,3
210,服務,甜品及咖啡店營運,總數,百分比,,,5.3%,27.1%,98.6%,1.4%
211,服務,西式食品製作,男生,人數,264,224,4,28,195,29
212,服務,西式食品製作,男生,百分比,,,1.8%,12.5%,87.1%,12.9%
213,服務,西式食品製作,女生,人數,245,223,14,46,208,15
214,服務,西式食品製作,女生,百分比,,,6.3%,20.6%,93.3%,6.7%
215,服務,西式食品製作,總數,人數,509,447,18,74,403,44
216,服務,西式食品製作,總數,百分比,,,4.0%,16.6%,90.2%,9.8%
217,所有乙類學科 (不包括應用學習中文),,男生,人數,1516,1325,69,270,1207,118
218,所有乙類學科 (不包括應用學習中文),,男生,百分比,,,5.2%,20.4%,91.1%,8.9%
219,所有乙類學科 (不包括應用學習中文),,女生,人數,1723,1615,184,578,1561,54
220,所有乙類學科 (不包括應用學習中文),,女生,百分比,,,11.4%,35.8%,96.7%,3.3%
221,所有乙類學科 (不包括應用學習中文),,總數,人數,3239,2940,253,848,2768,172
222,所有乙類學科 (不包括應用學習中文),,總數,百分比,,,8.6%,28.8%,94.1%,5.9%
