行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
39,中國文學,,女生,人數,1071,1033,,17,67,159,404,717,941,1010,23
40,中國文學,,女生,百分比,,,-,1.6%,6.5%,15.4%,39.1%,69.4%,91.1%,97.8%,2.2%
41,中國文學,,總數,人數,1383,1325,,19,74,187,478,877,1183,1287,38
42,中國文學,,總數,百分比,,,-,1.4%,5.6%,14.1%,36.1%,66.2%,89.3%,97.1%,2.9%
43,設計與應用科技,,男生,人數,363,338,,2,7,14,39,77,208,288,50
44,設計與應用科技,,男生,百分比,,,95.0,0.6%,2.1%,4.1%,11.5%,22.8%,61.5%,85.2%,14.8%
45,設計與應用科技,,女生,人數,176,170,,0,0,0,24,51,118,147,23
46,設計與應用科技,,女生,百分比,,,91.2,0.0%,0.0%,0.0%,14.1%,30.0%,69.4%,86.5%,13.5%
47,設計與應用科技,,總數,人數,539,508,,2,7,14,63,128,326,435,73
48,設計與應用科技,,總數,百分比,,,93.7,0.4%,1.4%,2.8%,12.4%,25.2%,64.2%,85.6%,14.4%
49,經濟,,男生,人數,6020,5626,,161,478,1143,2635,3767,4743,5315,311
50,經濟,,男生,百分比,,,44.2,2.9%,8.5%,20.3%,46.8%,67.0%,84.3%,94.5%,5.5%
51,經濟,,女生,人數,6223,5981,,98,356,998,2769,4095,5215,5705,276
52,經濟,,女生,百分比,,,36.0,1.6%,6.0%,16.7%,46.3%,68.5%,87.2%,95.4%,4.6%
53,經濟,,總數,人數,12243,11607,,259,834,2141,5404,7862,9958,11020,587
54,經濟,,總數,百分比,,,40.0,2.2%,7.2%,18.4%,46.6%,67.7%,85.8%,94.9%,5.1%
55,英國語文,,男生,人數,24539,23559,,177,750,1897,5530,11555,18016,21212,2347
56,英國語文,,男生,百分比,,,-,0.8%,3.2%,8.1%,23.5%,49.0%,76.5%,90.0%,10.0%
57,英國語文,,女生,人數,23877,23163,,243,943,2356,6490,12982,19346,22014,1149
58,英國語文,,女生,百分比,,,-,1.0%,4.1%,10.2%,28.0%,56.0%,83.5%,95.0%,5.0%
59,英國語文,,總數,人數,48416,46722,,420,1693,4253,12020,24537,37362,43226,3496
60,英國語文,,總數,百分比,,,-,0.9%,3.6%,9.1%,25.7%,52.5%,80.0%,92.5%,7.5%
61,倫理與宗教,,男生,人數,385,349,,1,8,20,84,201,301,327,22
62,倫理與宗教,,男生,百分比,,,92.6,0.3%,2.3%,5.7%,24.1%,57.6%,86.2%,93.7%,6.3%
63,倫理與宗教,,女生,人數,410,385,,4,18,48,147,290,360,373,12
64,倫理與宗教,,女生,百分比,,,95.3,1.0%,4.7%,12.5%,38.2%,75.3%,93.5%,96.9%,3.1%
65,倫理與宗教,,總數,人數,795,734,,5,26,68,231,491,661,700,34
66,倫理與宗教,,總數,百分比,,,94.0,0.7%,3.5%,9.3%,31.5%,66.9%,90.1%,95.4%,4.6%
67,地理,,男生,人數,3664,3481,,54,185,434,1301,2199,3047,3382,99
68,地理,,男生,百分比,,,60.5,1.6%,5.3%,12.5%,37.4%,63.2%,87.5%,97.2%,2.8%
69,地理,,女生,人數,4604,4476,,50,221,602,1810,3007,3982,4376,100
70,地理,,女生,百分比,,,48.8,1.1%,4.9%,13.4%,40.4%,67.2%,89.0%,97.8%,2.2%
71,地理,,總數,人數,8268,7957,,104,406,1036,3111,5206,7029,7758,199
72,地理,,總數,百分比,,,53.9,1.3%,5.1%,13.0%,39.1%,65.4%,88.3%,97.5%,2.5%
73,健康管理與社會關懷,,男生,人數,281,249,,0,2,5,32,86,176,227,22
74,健康管理與社會關懷,,男生,百分比,,,90.8,0.0%,0.8%,2.0%,12.9%,34.5%,70.7%,91.2%,8.8%
75,健康管理與社會關懷,,女生,人數,589,546,,3,12,32,114,258,436,515,31
76,健康管理與社會關懷,,女生,百分比,,,86.4,0.5%,2.2%,5.9%,20.9%,47.3%,79.9%,94.3%,5.7%
77,健康管理與社會關懷,,總數,人數,870,795,,3,14,37,146,344,612,742,53
78,健康管理與社會關懷,,總數,百分比,,,87.8,0.4%,1.8%,4.7%,18.4%,43.3%,77.0%,93.3%,6.7%
79,歷史,,男生,人數,2377,2248,,35,137,319,968,1640,2103,2212,36
80,歷史,,男生,百分比,,,69.0,1.6%,6.1%,14.2%,43.1%,73.0%,93.5%,98.4%,1.6%
81,歷史,,女生,人數,2832,2726,,38,172,432,1409,2164,2583,2708,18
82,歷史,,女生,百分比,,,52.6,1.4%,6.3%,15.8%,51.7%,79.4%,94.8%,99.3%,0.7%
83,歷史,,總數,人數,5209,4974,,73,309,751,2377,3804,4686,4920,54
84,歷史,,總數,百分比,,,60.0,1.5%,6.2%,15.1%,47.8%,76.5%,94.2%,98.9%,1.1%
85,資訊及通訊科技,,男生,人數,4204,3994,,46,176,417,1222,2178,3246,3751,243
86,資訊及通訊科技,,男生,百分比,,,59.0,1.2%,4.4%,10.4%,30.6%,54.5%,81.3%,93.9%,6.1%
87,資訊及通訊科技,,女生,人數,1419,1363,,11,46,114,370,707,1080,1269,94
88,資訊及通訊科技,,女生,百分比,,,44.0,0.8%,3.4%,8.4%,27.1%,51.9%,79.2%,93.1%,6.9%
89,資訊及通訊科技,,總數,人數,5623,5357,,57,222,531,1592,2885,4326,5020,337
90,資訊及通訊科技,,總數,百分比,,,55.2,1.1%,4.1%,9.9%,29.7%,53.9%,80.8%,93.7%,6.3%
91,通識教育,,男生,人數,23228,22634,,129,548,1450,6500,13399,19240,21950,684
92,通識教育,,男生,百分比,,,86.8,0.6%,2.4%,6.4%,28.7%,59.2%,85.0%,97.0%,3.0%
93,通識教育,,女生,人數,22406,21971,,281,1124,2718,9452,16226,20279,21665,306
94,通識教育,,女生,百分比,,,79.9,1.3%,5.1%,12.4%,43.0%,73.9%,92.3%,98.6%,1.4%
95,通識教育,,總數,人數,45634,44605,,410,1672,4168,15952,29625,39519,43615,990
96,通識教育,,總數,百分比,,,83.4,0.9%,3.7%,9.3%,35.8%,66.4%,88.6%,97.8%,2.2%
97,英語文學,,男生,人數,20,15,,0,1,2,5,8,12,13,2
98,英語文學,,男生,百分比,,,-,0.0%,6.7%,13.3%,33.3%,53.3%,80.0%,86.7%,13.3%
99,英語文學,,女生,人數,236,229,,4,18,46,129,193,213,222,7
100,英語文學,,女生,百分比,,,-,1.7%,7.9%,20.1%,56.3%,84.3%,93.0%,96.9%,3.1%
101,英語文學,,總數,人數,256,244,,4,19,48,134,201,225,235,9
102,英語文學,,總數,百分比,,,-,1.6%,7.8%,19.7%,54.9%,82.4%,92.2%,96.3%,3.7%
103,數學,必修部分,男生,人數,24399,23277,,556,1899,4172,9602,13674,18765,21455,1822
104,數學,必修部分,男生,百分比,,,42.5,2.4%,8.2%,17.9%,41.3%,58.7%,80.6%,92.2%,7.8%
105,數學,必修部分,女生,人數,23173,22345,,178,935,2730,8385,12965,18321,20900,1445
106,數學,必修部分,女生,百分比,,,34.7,0.8%,4.2%,12.2%,37.5%,58.0%,82.0%,93.5%,6.5%
107,數學,必修部分,總數,人數,47572,45622,,734,2834,6902,17987,26639,37086,42355,3267
108,數學,必修部分,總數,百分比,,,38.7,1.6%,6.2%,15.1%,39.4%,58.4%,81.3%,92.8%,7.2%
109,數學,延伸部分 (微積分與統計),男生,人數,1587,1420,,49,207,449,787,993,1220,1343,77
110,數學,延伸部分 (微積分與統計),男生,百分比,,,23.5,3.5%,14.6%,31.6%,55.4%,69.9%,85.9%,94.6%,5.4%
111,數學,延伸部分 (微積分與統計),女生,人數,1058,984,,21,106,274,537,715,868,941,43
112,數學,延伸部分 (微積分與統計),女生,百分比,,,16.9,2.1%,10.8%,27.8%,54.6%,72.7%,88.2%,95.6%,4.4%
113,數學,延伸部分 (微積分與統計),總數,人數,2645,2404,,70,313,723,1324,1708,2088,2284,120
114,數學,延伸部分 (微積分與統計),總數,百分比,,,20.8,2.9%,13.0%,30.1%,55.1%,71.0%,86.9%,95.0%,5.0%
115,數學,延伸部分 (代數與微積分),男生,人數,3549,3225,,168,606,1358,2007,2634,2984,3155,70
116,數學,延伸部分 (代數與微積分),男生,百分比,,,15.1,5.2%,18.8%,42.1%,62.2%,81.7%,92.5%,97.8%,2.2%
117,數學,延伸部分 (代數與微積分),女生,人數,1298,1211,,30,133,404,656,956,1121,1191,20
118,數學,延伸部分 (代數與微積分),女生,百分比,,,12.4,2.5%,11.0%,33.4%,54.2%,78.9%,92.6%,98.3%,1.7%
119,數學,延伸部分 (代數與微積分),總數,人數,4847,4436,,198,739,1762,2663,3590,4105,4346,90
120,數學,延伸部分 (代數與微積分),總數,百分比,,,14.4,4.5%,16.7%,39.7%,60.0%,80.9%,92.5%,98.0%,2.0%
121,音樂,,男生,人數,62,60,,3,9,21,39,55,57,59,1
122,音樂,,男生,百分比,,,5.0,5.0%,15.0%,35.0%,65.0%,91.7%,95.0%,98.3%,1.7%
123,音樂,,女生,人數,90,87,,0,5,12,42,75,84,86,1
124,音樂,,女生,百分比,,,10.3,0.0%,5.7%,13.8%,48.3%,86.2%,96.6%,98.9%,1.1%
125,音樂,,總數,人數,152,147,,3,14,33,81,130,141,145,2
126,音樂,,總數,百分比,,,8.2,2.0%,9.5%,22.4%,55.1%,88.4%,95.9%,98.6%,1.4%
127,體育,,男生,人數,854,825,,2,7,17,94,308,560,740,85
128,體育,,男生,百分比,,,88.5,0.2%,0.8%,2.1%,11.4%,37.3%,67.9%,89.7%,10.3%
129,體育,,女生,人數,248,236,,1,3,13,46,117,180,223,13
130,體育,,女生,百分比,,,81.8,0.4%,1.3%,5.5%,19.5%,49.6%,76.3%,94.5%,5.5%
131,體育,,總數,人數,1102,1061,,3,10,30,140,425,740,963,98
132,體育,,總數,百分比,,,87.0,0.3%,0.9%,2.8%,13.2%,40.1%,69.7%,90.8%,9.2%
133,物理,,男生,人數,7234,6724,,219,814,1983,3453,4913,6065,6584,140
134,物理,,男生,百分比,,,29.1,3.3%,12.1%,29.5%,51.4%,73.1%,90.2%,97.9%,2.1%
135,物理,,女生,人數,2812,2642,,37,213,613,1209,1859,2374,2591,51
136,物理,,女生,百分比,,,18.8,1.4%,8.1%,23.2%,45.8%,70.4%,89.9%,98.1%,1.9%
137,物理,,總數,人數,10046,9366,,256,1027,2596,4662,6772,8439,9175,191
138,物理,,總數,百分比,,,26.2,2.7%,11.0%,27.7%,49.8%,72.3%,90.1%,98.0%,2.0%
139,科學,組合科學 (生物、化學),男生,人數,104,97,,0,0,2,12,24,50,71,26
140,科學,組合科學 (生物、化學),男生,百分比,,,100.0,0.0%,0.0%,2.1%,12.4%,24.7%,51.5%,73.2%,26.8%
141,科學,組合科學 (生物、化學),女生,人數,63,61,,0,0,0,5,20,37,48,13
142,科學,組合科學 (生物、化學),女生,百分比,,,82.0,0.0%,0.0%,0.0%,8.2%,32.8%,60.7%,78.7%,21.3%
143,科學,組合科學 (生物、化學),總數,人數,167,158,,0,0,2,17,44,87,119,39
144,科學,組合科學 (生物、化學),總數,百分比,,,93.0,0.0%,0.0%,1.3%,10.8%,27.8%,55.1%,75.3%,24.7%
145,科學,組合科學 (生物、物理),男生,人數,26,25,,0,1,1,8,17,23,25,0
146,科學,組合科學 (生物、物理),男生,百分比,,,92.0,0.0%,4.0%,4.0%,32.0%,68.0%,92.0%,100.0%,0.0%
147,科學,組合科學 (生物、物理),女生,人數,11,10,,0,0,0,2,4,6,7,3
148,科學,組合科學 (生物、物理),女生,百分比,,,70.0,0.0%,0.0%,0.0%,20.0%,40.0%,60.0%,70.0%,30.0%
149,科學,組合科學 (生物、物理),總數,人數,37,35,,0,1,1,10,21,29,32,3
150,科學,組合科學 (生物、物理),總數,百分比,,,85.7,0.0%,2.9%,2.9%,28.6%,60.0%,82.9%,91.4%,8.6%
151,科學,組合科學 (化學、物理),男生,人數,84,73,,0,0,0,15,39,56,66,7
152,科學,組合科學 (化學、物理),男生,百分比,,,78.1,0.0%,0.0%,0.0%,20.5%,53.4%,76.7%,90.4%,9.6%
153,科學,組合科學 (化學、物理),女生,人數,34,32,,0,0,1,7,14,24,27,5
154,科學,組合科學 (化學、物理),女生,百分比,,,78.1,0.0%,0.0%,3.1%,21.9%,43.8%,75.0%,84.4%,15.6%
155,科學,組合科學 (化學、物理),總數,人數,118,105,,0,0,1,22,53,80,93,12
156,科學,組合科學 (化學、物理),總數,百分比,,,78.1,0.0%,0.0%,1.0%,21.0%,50.5%,76.2%,88.6%,11.4%
157,科學,組合科學 (生物),男生,人數,130,122,,1,4,7,25,54,82,103,19
158,科學,組合科學 (生物),男生,百分比,,,98.4,0.8%,3.3%,5.7%,20.5%,44.3%,67.2%,84.4%,15.6%
159,科學,組合科學 (生物),女生,人數,74,71,,0,0,1,15,29,48,60,11
160,科學,組合科學 (生物),女生,百分比,,,80.3,0.0%,0.0%,1.4%,21.1%,40.8%,67.6%,84.5%,15.5%
161,科學,組合科學 (生物),總數,人數,204,193,,1,4,8,40,83,130,163,30
162,科學,組合科學 (生物),總數,百分比,,,91.7,0.5%,2.1%,4.1%,20.7%,43.0%,67.4%,84.5%,15.5%
163,科學,組合科學 (化學),男生,人數,188,169,,0,0,1,21,59,97,136,33
164,科學,組合科學 (化學),男生,百分比,,,90.5,0.0%,0.0%,0.6%,12.4%,34.9%,57.4%,80.5%,19.5%
165,科學,組合科學 (化學),女生,人數,97,93,,0,0,2,12,37,50,73,20
166,科學,組合科學 (化學),女生,百分比,,,80.6,0.0%,0.0%,2.2%,12.9%,39.8%,53.8%,78.5%,21.5%
167,科學,組合科學 (化學),總數,人數,285,262,,0,0,3,33,96,147,209,53
168,科學,組合科學 (化學),總數,百分比,,,87.0,0.0%,0.0%,1.1%,12.6%,36.6%,56.1%,79.8%,20.2%
169,科學,組合科學 (物理),男生,人數,110,94,,2,3,7,20,52,75,92,2
170,科學,組合科學 (物理),男生,百分比,,,80.9,2.1%,3.2%,7.4%,21.3%,55.3%,79.8%,97.9%,2.1%
171,科學,組合科學 (物理),女生,人數,45,42,,0,0,1,7,17,27,33,9
172,科學,組合科學 (物理),女生,百分比,,,76.2,0.0%,0.0%,2.4%,16.7%,40.5%,64.3%,78.6%,21.4%
173,科學,組合科學 (物理),總數,人數,155,136,,2,3,8,27,69,102,125,11
174,科學,組合科學 (物理),總數,百分比,,,79.4,1.5%,2.2%,5.9%,19.9%,50.7%,75.0%,91.9%,8.1%
175,科學,組合科學,男生,人數,214,195,,0,1,3,35,80,129,162,33
176,科學,組合科學,男生,百分比,,,90.8,0.0%,0.5%,1.5%,17.9%,41.0%,66.2%,83.1%,16.9%
177,科學,組合科學,女生,人數,108,103,,0,0,1,14,38,67,82,21
178,科學,組合科學,女生,百分比,,,79.6,0.0%,0.0%,1.0%,13.6%,36.9%,65.0%,79.6%,20.4%
179,科學,組合科學,總數,人數,322,298,,0,1,4,49,118,196,244,54
180,科學,組合科學,總數,百分比,,,86.9,0.0%,0.3%,1.3%,16.4%,39.6%,65.8%,81.9%,18.1%
181,科學,綜合科學,男生,人數,50,43,,0,1,1,7,12,31,40,3
182,科學,綜合科學,男生,百分比,,,88.4,0.0%,2.3%,2.3%,16.3%,27.9%,72.1%,93.0%,7.0%
183,科學,綜合科學,女生,人數,33,31,,1,1,3,8,17,27,31,0
184,科學,綜合科學,女生,百分比,,,74.2,3.2%,3.2%,9.7%,25.8%,54.8%,87.1%,100.0%,0.0%
185,科學,綜合科學,總數,人數,83,74,,1,2,4,15,29,58,71,3
186,科學,綜合科學,總數,百分比,,,82.4,1.4%,2.7%,5.4%,20.3%,39.2%,78.4%,95.9%,4.1%
187,科技與生活,食品科學與科技,男生,人數,54,49,,0,0,0,2,9,24,41,8
188,科技與生活,食品科學與科技,男生,百分比,,,83.7,0.0%,0.0%,0.0%,4.1%,18.4%,49.0%,83.7%,16.3%
189,科技與生活,食品科學與科技,女生,人數,122,117,,1,4,8,34,72,105,115,2
190,科技與生活,食品科學與科技,女生,百分比,,,44.4,0.9%,3.4%,6.8%,29.1%,61.5%,89.7%,98.3%,1.7%
191,科技與生活,食品科學與科技,總數,人數,176,166,,1,4,8,36,81,129,156,10
192,科技與生活,食品科學與科技,總數,百分比,,,56.0,0.6%,2.4%,4.8%,21.7%,48.8%,77.7%,94.0%,6.0%
193,科技與生活,服裝、成衣與紡織,男生,人數,17,12,,0,0,0,0,1,3,5,7
194,科技與生活,服裝、成衣與紡織,男生,百分比,,,100.0,0.0%,0.0%,0.0%,0.0%,8.3%,25.0%,41.7%,58.3%
195,科技與生活,服裝、成衣與紡織,女生,人數,40,35,,0,1,2,11,20,29,32,3
196,科技與生活,服裝、成衣與紡織,女生,百分比,,,82.9,0.0%,2.9%,5.7%,31.4%,57.1%,82.9%,91.4%,8.6%
197,科技與生活,服裝、成衣與紡織,總數,人數,57,47,,0,1,2,11,21,32,37,10
198,科技與生活,服裝、成衣與紡織,總數,百分比,,,87.2,0.0%,2.1%,4.3%,23.4%,44.7%,68.1%,78.7%,21.3%
199,旅遊與款待,,男生,人數,1456,1307,,5,13,39,138,380,905,1151,156
200,旅遊與款待,,男生,百分比,,,88.4,0.4%,1.0%,3.0%,10.6%,29.1%,69.2%,88.1%,11.9%
201,旅遊與款待,,女生,人數,2077,1949,,10,51,121,361,811,1557,1843,106
202,旅遊與款待,,女生,百分比,,,85.8,0.5%,2.6%,6.2%,18.5%,41.6%,79.9%,94.6%,5.4%
203,旅遊與款待,,總數,人數,3533,3256,,15,64,160,499,1191,2462,2994,262
204,旅遊與款待,,總數,百分比,,,86.9,0.5%,2.0%,4.9%,15.3%,36.6%,75.6%,92.0%,8.0%
205,視覺藝術,,男生,人數,927,875,,4,14,37,115,295,640,792,83
206,視覺藝術,,男生,百分比,,,86.4,0.5%,1.6%,4.2%,13.1%,33.7%,73.1%,90.5%,9.5%
207,視覺藝術,,女生,人數,2535,2470,,18,71,178,665,1381,2188,2407,63
208,視覺藝術,,女生,百分比,,,82.8,0.7%,2.9%,7.2%,26.9%,55.9%,88.6%,97.4%,2.6%
209,視覺藝術,,總數,人數,3462,3345,,22,85,215,780,1676,2828,3199,146
210,視覺藝術,,總數,百分比,,,83.7,0.7%,2.5%,6.4%,23.3%,50.1%,84.5%,95.6%,4.4%
211,所有甲類學科#,,男生,人數,143640,137191,,1993,7254,17203,45170,78730,113543,129435,7756
212,所有甲類學科#,,男生,百分比,,,56.3,1.5%,5.3%,12.5%,32.9%,57.4%,82.8%,94.3%,5.7%
213,所有甲類學科#,,女生,人數,138967,134354,,1722,7098,18185,52268,88031,118246,129667,4687
214,所有甲類學科#,,女生,百分比,,,50.6,1.3%,5.3%,13.5%,38.9%,65.5%,88.0%,96.5%,3.5%
215,所有甲類學科#,,總數,人數,282607,271545,,3715,14352,35388,97438,166761,231789,259102,12443
216,所有甲類學科#,,總數,百分比,,,53.5,1.4%,5.3%,13.0%,35.9%,61.4%,85.4%,95.4%,4.6%
