行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),"達標並表現優異(I)
或以上",達標或以上,未達標,
90,創意學習,室內設計,總數,百分比,,,7.1%,29.4%,95.3%,4.7%,
91,創意學習,珠寶及時尚首飾設計,男生,人數,3,2,0,0,1,1,
92,創意學習,珠寶及時尚首飾設計,男生,百分比,,,0.0%,0.0%,50.0%,50.0%,
93,創意學習,珠寶及時尚首飾設計,女生,人數,20,19,4,8,19,0,
94,創意學習,珠寶及時尚首飾設計,女生,百分比,,,21.1%,42.1%,100.0%,0.0%,
95,創意學習,珠寶及時尚首飾設計,總數,人數,23,21,4,8,20,1,
96,創意學習,珠寶及時尚首飾設計,總數,百分比,,,19.0%,38.1%,95.2%,4.8%,
97,創意學習,舞出新機－舞蹈藝術,男生,人數,3,2,0,2,2,0,
98,創意學習,舞出新機－舞蹈藝術,男生,百分比,,,0.0%,100.0%,100.0%,0.0%,
99,創意學習,舞出新機－舞蹈藝術,女生,人數,39,39,6,14,39,0,
100,創意學習,舞出新機－舞蹈藝術,女生,百分比,,,15.4%,35.9%,100.0%,0.0%,
101,創意學習,舞出新機－舞蹈藝術,總數,人數,42,41,6,16,41,0,
102,創意學習,舞出新機－舞蹈藝術,總數,百分比,,,14.6%,39.0%,100.0%,0.0%,
103,創意學習,由戲開始‧劇藝縱橫,男生,人數,13,12,2,7,12,0,
104,創意學習,由戲開始‧劇藝縱橫,男生,百分比,,,16.7%,58.3%,100.0%,0.0%,
105,創意學習,由戲開始‧劇藝縱橫,女生,人數,49,48,9,24,48,0,
106,創意學習,由戲開始‧劇藝縱橫,女生,百分比,,,18.8%,50.0%,100.0%,0.0%,
107,創意學習,由戲開始‧劇藝縱橫,總數,人數,62,60,11,31,60,0,
108,創意學習,由戲開始‧劇藝縱橫,總數,百分比,,,18.3%,51.7%,100.0%,0.0%,
109,工程及生產,汽車科技,男生,人數,44,42,1,5,36,6,
110,工程及生產,汽車科技,男生,百分比,,,2.4%,11.9%,85.7%,14.3%,
111,工程及生產,汽車科技,女生,人數,1,1,0,0,1,0,
112,工程及生產,汽車科技,女生,百分比,,,0.0%,0.0%,100.0%,0.0%,
113,工程及生產,汽車科技,總數,人數,45,43,1,5,37,6,
114,工程及生產,汽車科技,總數,百分比,,,2.3%,11.6%,86.0%,14.0%,
115,工程及生產,航空學,男生,人數,190,175,7,22,152,23,
116,工程及生產,航空學,男生,百分比,,,4.0%,12.6%,86.9%,13.1%,
117,工程及生產,航空學,女生,人數,155,145,17,62,139,6,
118,工程及生產,航空學,女生,百分比,,,11.7%,42.8%,95.9%,4.1%,
119,工程及生產,航空學,總數,人數,345,320,24,84,291,29,
120,工程及生產,航空學,總數,百分比,,,7.5%,26.3%,90.9%,9.1%,
121,工程及生產,電腦鑑證科技,男生,人數,23,23,3,9,23,0,
122,工程及生產,電腦鑑證科技,男生,百分比,,,13.0%,39.1%,100.0%,0.0%,
123,工程及生產,電腦鑑證科技,女生,人數,3,3,0,0,3,0,
124,工程及生產,電腦鑑證科技,女生,百分比,,,0.0%,0.0%,100.0%,0.0%,
125,工程及生產,電腦鑑證科技,總數,人數,26,26,3,9,26,0,
126,工程及生產,電腦鑑證科技,總數,百分比,,,11.5%,34.6%,100.0%,0.0%,
127,工程及生產,電機及能源工程,男生,人數,53,50,1,5,43,7,
128,工程及生產,電機及能源工程,男生,百分比,,,2.0%,10.0%,86.0%,14.0%,
129,工程及生產,電機及能源工程,女生,人數,3,3,1,1,3,0,
130,工程及生產,電機及能源工程,女生,百分比,,,33.3%,33.3%,100.0%,0.0%,
131,工程及生產,電機及能源工程,總數,人數,56,53,2,6,46,7,
132,工程及生產,電機及能源工程,總數,百分比,,,3.8%,11.3%,86.8%,13.2%,
