行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
121,音樂,,男生,人數,80,80,,3,9,21,45,62,77,79,1
122,音樂,,男生,百分比,,,12.5,3.8%,11.3%,26.3%,56.3%,77.5%,96.3%,98.8%,1.3%
123,音樂,,女生,人數,109,109,,1,8,21,54,90,105,107,2
124,音樂,,女生,百分比,,,10.1,0.9%,7.3%,19.3%,49.5%,82.6%,96.3%,98.2%,1.8%
125,音樂,,總數,人數,189,189,,4,17,42,99,152,182,186,3
126,音樂,,總數,百分比,,,11.1,2.1%,9.0%,22.2%,52.4%,80.4%,96.3%,98.4%,1.6%
127,體育,,男生,人數,800,759,,0,3,13,62,265,540,694,65
128,體育,,男生,百分比,,,90.1,0.0%,0.4%,1.7%,8.2%,34.9%,71.1%,91.4%,8.6%
129,體育,,女生,人數,240,234,,2,7,9,40,92,172,217,17
130,體育,,女生,百分比,,,85.0,0.9%,3.0%,3.8%,17.1%,39.3%,73.5%,92.7%,7.3%
131,體育,,總數,人數,1040,993,,2,10,22,102,357,712,911,82
132,體育,,總數,百分比,,,88.9,0.2%,1.0%,2.2%,10.3%,36.0%,71.7%,91.7%,8.3%
133,物理,,男生,人數,8187,7721,,241,883,2122,3870,5557,6895,7544,177
134,物理,,男生,百分比,,,30.7,3.1%,11.4%,27.5%,50.1%,72.0%,89.3%,97.7%,2.3%
135,物理,,女生,人數,3096,2971,,52,264,766,1459,2177,2724,2903,68
136,物理,,女生,百分比,,,19.3,1.8%,8.9%,25.8%,49.1%,73.3%,91.7%,97.7%,2.3%
137,物理,,總數,人數,11283,10692,,293,1147,2888,5329,7734,9619,10447,245
138,物理,,總數,百分比,,,27.5,2.7%,10.7%,27.0%,49.8%,72.3%,90.0%,97.7%,2.3%
139,科學,組合科學 (生物、化學),男生,人數,215,197,,0,0,2,25,61,114,157,40
140,科學,組合科學 (生物、化學),男生,百分比,,,94.9,0.0%,0.0%,1.0%,12.7%,31.0%,57.9%,79.7%,20.3%
141,科學,組合科學 (生物、化學),女生,人數,154,143,,0,1,2,17,50,101,133,10
142,科學,組合科學 (生物、化學),女生,百分比,,,70.6,0.0%,0.7%,1.4%,11.9%,35.0%,70.6%,93.0%,7.0%
143,科學,組合科學 (生物、化學),總數,人數,369,340,,0,1,4,42,111,215,290,50
144,科學,組合科學 (生物、化學),總數,百分比,,,84.7,0.0%,0.3%,1.2%,12.4%,32.6%,63.2%,85.3%,14.7%
145,科學,組合科學 (生物、物理),男生,人數,14,13,,0,0,0,2,7,11,12,1
146,科學,組合科學 (生物、物理),男生,百分比,,,84.6,0.0%,0.0%,0.0%,15.4%,53.8%,84.6%,92.3%,7.7%
147,科學,組合科學 (生物、物理),女生,人數,11,11,,0,0,1,1,2,6,10,1
148,科學,組合科學 (生物、物理),女生,百分比,,,90.9,0.0%,0.0%,9.1%,9.1%,18.2%,54.5%,90.9%,9.1%
149,科學,組合科學 (生物、物理),總數,人數,25,24,,0,0,1,3,9,17,22,2
150,科學,組合科學 (生物、物理),總數,百分比,,,87.5,0.0%,0.0%,4.2%,12.5%,37.5%,70.8%,91.7%,8.3%
151,科學,組合科學 (化學、物理),男生,人數,162,155,,1,2,4,27,62,99,134,21
152,科學,組合科學 (化學、物理),男生,百分比,,,82.6,0.6%,1.3%,2.6%,17.4%,40.0%,63.9%,86.5%,13.5%
153,科學,組合科學 (化學、物理),女生,人數,98,93,,0,0,0,9,35,69,86,7
154,科學,組合科學 (化學、物理),女生,百分比,,,82.8,0.0%,0.0%,0.0%,9.7%,37.6%,74.2%,92.5%,7.5%
155,科學,組合科學 (化學、物理),總數,人數,260,248,,1,2,4,36,97,168,220,28
156,科學,組合科學 (化學、物理),總數,百分比,,,82.7,0.4%,0.8%,1.6%,14.5%,39.1%,67.7%,88.7%,11.3%
157,科學,組合科學 (生物),男生,人數,229,210,,0,0,5,32,79,142,186,24
158,科學,組合科學 (生物),男生,百分比,,,94.3,0.0%,0.0%,2.4%,15.2%,37.6%,67.6%,88.6%,11.4%
159,科學,組合科學 (生物),女生,人數,165,154,,1,3,4,25,61,120,144,10
160,科學,組合科學 (生物),女生,百分比,,,72.1,0.6%,1.9%,2.6%,16.2%,39.6%,77.9%,93.5%,6.5%
161,科學,組合科學 (生物),總數,人數,394,364,,1,3,9,57,140,262,330,34
162,科學,組合科學 (生物),總數,百分比,,,84.9,0.3%,0.8%,2.5%,15.7%,38.5%,72.0%,90.7%,9.3%
163,科學,組合科學 (化學),男生,人數,377,351,,2,2,6,53,117,193,270,81
164,科學,組合科學 (化學),男生,百分比,,,89.7,0.6%,0.6%,1.7%,15.1%,33.3%,55.0%,76.9%,23.1%
165,科學,組合科學 (化學),女生,人數,252,236,,0,1,1,31,93,153,210,26
166,科學,組合科學 (化學),女生,百分比,,,75.4,0.0%,0.4%,0.4%,13.1%,39.4%,64.8%,89.0%,11.0%
167,科學,組合科學 (化學),總數,人數,629,587,,2,3,7,84,210,346,480,107
168,科學,組合科學 (化學),總數,百分比,,,84.0,0.3%,0.5%,1.2%,14.3%,35.8%,58.9%,81.8%,18.2%
169,科學,組合科學 (物理),男生,人數,176,168,,3,6,15,32,71,113,146,22
170,科學,組合科學 (物理),男生,百分比,,,82.7,1.8%,3.6%,8.9%,19.0%,42.3%,67.3%,86.9%,13.1%
171,科學,組合科學 (物理),女生,人數,109,104,,0,1,2,10,30,71,96,8
172,科學,組合科學 (物理),女生,百分比,,,83.7,0.0%,1.0%,1.9%,9.6%,28.8%,68.3%,92.3%,7.7%
173,科學,組合科學 (物理),總數,人數,285,272,,3,7,17,42,101,184,242,30
174,科學,組合科學 (物理),總數,百分比,,,83.1,1.1%,2.6%,6.3%,15.4%,37.1%,67.6%,89.0%,11.0%
175,科學,組合科學,男生,人數,391,365,,1,2,6,54,130,224,303,62
176,科學,組合科學,男生,百分比,,,89.3,0.3%,0.5%,1.6%,14.8%,35.6%,61.4%,83.0%,17.0%
177,科學,組合科學,女生,人數,263,247,,0,1,3,27,87,176,229,18
178,科學,組合科學,女生,百分比,,,76.1,0.0%,0.4%,1.2%,10.9%,35.2%,71.3%,92.7%,7.3%
179,科學,組合科學,總數,人數,654,612,,1,3,9,81,217,400,532,80
180,科學,組合科學,總數,百分比,,,84.0,0.2%,0.5%,1.5%,13.2%,35.5%,65.4%,86.9%,13.1%
181,科學,綜合科學,男生,人數,54,46,,0,1,3,11,21,37,42,4
