行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 -  5**,表現 -  5*,表現 -  5+,表現 -  4+,表現 -  3+,表現 -  2+,表現 -  1+,表現 -  U
102,英語文學,,總數,百分比,,,-,2.2%,8.1%,19.4%,54.3%,78.0%,90.9%,94.6%,5.4%
103,數學,必修部分,男生,人數,28136,26903,,579,2014,4590,11037,16207,22010,24903,2000
104,數學,必修部分,男生,百分比,,,46.0,2.2%,7.5%,17.1%,41.0%,60.2%,81.8%,92.6%,7.4%
105,數學,必修部分,女生,人數,27302,26537,,204,1069,2949,9672,15593,21719,24808,1729
106,數學,必修部分,女生,百分比,,,36.5,0.8%,4.0%,11.1%,36.4%,58.8%,81.8%,93.5%,6.5%
107,數學,必修部分,總數,人數,55438,53440,,783,3083,7539,20709,31800,43729,49711,3729
108,數學,必修部分,總數,百分比,,,41.3,1.5%,5.8%,14.1%,38.8%,59.5%,81.8%,93.0%,7.0%
109,數學,延伸部分 (微積分與統計),男生,人數,1767,1607,,56,179,425,862,1171,1386,1517,90
110,數學,延伸部分 (微積分與統計),男生,百分比,,,22.4,3.5%,11.1%,26.4%,53.6%,72.9%,86.2%,94.4%,5.6%
111,數學,延伸部分 (微積分與統計),女生,人數,1169,1085,,32,104,289,607,794,958,1036,49
112,數學,延伸部分 (微積分與統計),女生,百分比,,,16.4,2.9%,9.6%,26.6%,55.9%,73.2%,88.3%,95.5%,4.5%
113,數學,延伸部分 (微積分與統計),總數,人數,2936,2692,,88,283,714,1469,1965,2344,2553,139
114,數學,延伸部分 (微積分與統計),總數,百分比,,,20.0,3.3%,10.5%,26.5%,54.6%,73.0%,87.1%,94.8%,5.2%
115,數學,延伸部分 (代數與微積分),男生,人數,3888,3597,,155,593,1408,2190,2918,3330,3520,77
116,數學,延伸部分 (代數與微積分),男生,百分比,,,13.9,4.3%,16.5%,39.1%,60.9%,81.1%,92.6%,97.9%,2.1%
117,數學,延伸部分 (代數與微積分),女生,人數,1327,1242,,27,129,399,667,960,1125,1207,35
118,數學,延伸部分 (代數與微積分),女生,百分比,,,12.4,2.2%,10.4%,32.1%,53.7%,77.3%,90.6%,97.2%,2.8%
119,數學,延伸部分 (代數與微積分),總數,人數,5215,4839,,182,722,1807,2857,3878,4455,4727,112
120,數學,延伸部分 (代數與微積分),總數,百分比,,,13.5,3.8%,14.9%,37.3%,59.0%,80.1%,92.1%,97.7%,2.3%
121,音樂,,男生,人數,98,97,,4,16,29,56,80,91,93,4
122,音樂,,男生,百分比,,,15.5,4.1%,16.5%,29.9%,57.7%,82.5%,93.8%,95.9%,4.1%
123,音樂,,女生,人數,129,124,,0,4,17,56,93,110,120,4
124,音樂,,女生,百分比,,,15.3,0.0%,3.2%,13.7%,45.2%,75.0%,88.7%,96.8%,3.2%
125,音樂,,總數,人數,227,221,,4,20,46,112,173,201,213,8
126,音樂,,總數,百分比,,,15.4,1.8%,9.0%,20.8%,50.7%,78.3%,91.0%,96.4%,3.6%
127,體育,,男生,人數,824,798,,0,1,10,64,270,542,725,73
128,體育,,男生,百分比,,,90.4,0.0%,0.1%,1.3%,8.0%,33.8%,67.9%,90.9%,9.1%
129,體育,,女生,人數,228,225,,1,4,9,33,95,157,207,18
130,體育,,女生,百分比,,,81.3,0.4%,1.8%,4.0%,14.7%,42.2%,69.8%,92.0%,8.0%
131,體育,,總數,人數,1052,1023,,1,5,19,97,365,699,932,91
132,體育,,總數,百分比,,,88.4,0.1%,0.5%,1.9%,9.5%,35.7%,68.3%,91.1%,8.9%
133,物理,,男生,人數,8461,8057,,234,898,2171,4045,5898,7259,7883,174
134,物理,,男生,百分比,,,30.7,2.9%,11.1%,26.9%,50.2%,73.2%,90.1%,97.8%,2.2%
135,物理,,女生,人數,3164,3061,,43,218,645,1425,2250,2772,3002,59
136,物理,,女生,百分比,,,18.7,1.4%,7.1%,21.1%,46.6%,73.5%,90.6%,98.1%,1.9%
137,物理,,總數,人數,11625,11118,,277,1116,2816,5470,8148,10031,10885,233
138,物理,,總數,百分比,,,27.4,2.5%,10.0%,25.3%,49.2%,73.3%,90.2%,97.9%,2.1%
139,科學,組合科學 (生物、化學),男生,人數,224,210,,0,0,0,14,60,120,179,31
140,科學,組合科學 (生物、化學),男生,百分比,,,96.7,0.0%,0.0%,0.0%,6.7%,28.6%,57.1%,85.2%,14.8%
141,科學,組合科學 (生物、化學),女生,人數,179,174,,0,1,3,19,59,114,152,22
142,科學,組合科學 (生物、化學),女生,百分比,,,80.5,0.0%,0.6%,1.7%,10.9%,33.9%,65.5%,87.4%,12.6%
143,科學,組合科學 (生物、化學),總數,人數,403,384,,0,1,3,33,119,234,331,53
144,科學,組合科學 (生物、化學),總數,百分比,,,89.3,0.0%,0.3%,0.8%,8.6%,31.0%,60.9%,86.2%,13.8%
145,科學,組合科學 (生物、物理),男生,人數,27,27,,2,3,3,7,17,20,23,4
146,科學,組合科學 (生物、物理),男生,百分比,,,96.3,7.4%,11.1%,11.1%,25.9%,63.0%,74.1%,85.2%,14.8%
147,科學,組合科學 (生物、物理),女生,人數,7,7,,0,0,0,2,3,4,6,1
148,科學,組合科學 (生物、物理),女生,百分比,,,100.0,0.0%,0.0%,0.0%,28.6%,42.9%,57.1%,85.7%,14.3%
149,科學,組合科學 (生物、物理),總數,人數,34,34,,2,3,3,9,20,24,29,5
150,科學,組合科學 (生物、物理),總數,百分比,,,97.1,5.9%,8.8%,8.8%,26.5%,58.8%,70.6%,85.3%,14.7%
151,科學,組合科學 (化學、物理),男生,人數,259,242,,2,4,7,60,125,173,216,26
152,科學,組合科學 (化學、物理),男生,百分比,,,77.7,0.8%,1.7%,2.9%,24.8%,51.7%,71.5%,89.3%,10.7%
153,科學,組合科學 (化學、物理),女生,人數,109,105,,0,2,3,21,40,71,91,14
154,科學,組合科學 (化學、物理),女生,百分比,,,79.0,0.0%,1.9%,2.9%,20.0%,38.1%,67.6%,86.7%,13.3%
155,科學,組合科學 (化學、物理),總數,人數,368,347,,2,6,10,81,165,244,307,40
156,科學,組合科學 (化學、物理),總數,百分比,,,78.1,0.6%,1.7%,2.9%,23.3%,47.6%,70.3%,88.5%,11.5%
157,科學,組合科學 (生物),男生,人數,251,237,,2,3,4,33,87,162,212,25
158,科學,組合科學 (生物),男生,百分比,,,96.6,0.8%,1.3%,1.7%,13.9%,36.7%,68.4%,89.5%,10.5%
159,科學,組合科學 (生物),女生,人數,186,181,,1,2,4,23,67,127,165,16
160,科學,組合科學 (生物),女生,百分比,,,81.2,0.6%,1.1%,2.2%,12.7%,37.0%,70.2%,91.2%,8.8%
161,科學,組合科學 (生物),總數,人數,437,418,,3,5,8,56,154,289,377,41
162,科學,組合科學 (生物),總數,百分比,,,90.0,0.7%,1.2%,1.9%,13.4%,36.8%,69.1%,90.2%,9.8%
163,科學,組合科學 (化學),男生,人數,483,452,,1,3,7,69,176,265,371,81
164,科學,組合科學 (化學),男生,百分比,,,86.5,0.2%,0.7%,1.5%,15.3%,38.9%,58.6%,82.1%,17.9%
165,科學,組合科學 (化學),女生,人數,288,279,,1,3,7,46,104,163,235,44
166,科學,組合科學 (化學),女生,百分比,,,79.9,0.4%,1.1%,2.5%,16.5%,37.3%,58.4%,84.2%,15.8%
167,科學,組合科學 (化學),總數,人數,771,731,,2,6,14,115,280,428,606,125
168,科學,組合科學 (化學),總數,百分比,,,84.0,0.3%,0.8%,1.9%,15.7%,38.3%,58.5%,82.9%,17.1%
169,科學,組合科學 (物理),男生,人數,286,269,,6,12,24,79,139,191,241,28
170,科學,組合科學 (物理),男生,百分比,,,79.6,2.2%,4.5%,8.9%,29.4%,51.7%,71.0%,89.6%,10.4%
171,科學,組合科學 (物理),女生,人數,116,112,,1,3,7,19,39,76,101,11
172,科學,組合科學 (物理),女生,百分比,,,80.4,0.9%,2.7%,6.3%,17.0%,34.8%,67.9%,90.2%,9.8%
173,科學,組合科學 (物理),總數,人數,402,381,,7,15,31,98,178,267,342,39
174,科學,組合科學 (物理),總數,百分比,,,79.8,1.8%,3.9%,8.1%,25.7%,46.7%,70.1%,89.8%,10.2%
175,科學,組合科學,男生,人數,510,479,,4,7,10,81,202,313,418,61
176,科學,組合科學,男生,百分比,,,87.1,0.8%,1.5%,2.1%,16.9%,42.2%,65.3%,87.3%,12.7%
177,科學,組合科學,女生,人數,295,286,,0,3,6,42,102,189,249,37
178,科學,組合科學,女生,百分比,,,80.4,0.0%,1.0%,2.1%,14.7%,35.7%,66.1%,87.1%,12.9%
179,科學,組合科學,總數,人數,805,765,,4,10,16,123,304,502,667,98
