行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 -  5**,表現 -  5*+,表現 -  5+,表現 -  4+,表現 -  3+,表現 -  2+,表現 -  1+,表現 -  U
110,數學,延伸部分 (微積分與統計),男生,百分比,,,21.6,3.1%,10.7%,25.9%,53.7%,73.2%,86.8%,94.9%,5.1%
111,數學,延伸部分 (微積分與統計),女生,人數,1091,1039,,31,103,280,586,770,925,998,41
112,數學,延伸部分 (微積分與統計),女生,百分比,,,16.1,3.0%,9.9%,26.9%,56.4%,74.1%,89.0%,96.1%,3.9%
113,數學,延伸部分 (微積分與統計),總數,人數,2608,2466,,75,255,649,1352,1814,2163,2352,114
114,數學,延伸部分 (微積分與統計),總數,百分比,,,19.3,3.0%,10.3%,26.3%,54.8%,73.6%,87.7%,95.4%,4.6%
115,數學,延伸部分 (代數與微積分),男生,人數,3332,3228,,130,511,1266,1988,2647,3007,3168,60
116,數學,延伸部分 (代數與微積分),男生,百分比,,,13.4,4.0%,15.8%,39.2%,61.6%,82.0%,93.2%,98.1%,1.9%
117,數學,延伸部分 (代數與微積分),女生,人數,1224,1173,,25,125,380,641,920,1075,1145,28
118,數學,延伸部分 (代數與微積分),女生,百分比,,,11.6,2.1%,10.7%,32.4%,54.6%,78.4%,91.6%,97.6%,2.4%
119,數學,延伸部分 (代數與微積分),總數,人數,4556,4401,,155,636,1646,2629,3567,4082,4313,88
120,數學,延伸部分 (代數與微積分),總數,百分比,,,13.0,3.5%,14.5%,37.4%,59.7%,81.0%,92.8%,98.0%,2.0%
121,音樂,,男生,人數,95,95,,4,15,28,55,79,90,92,3
122,音樂,,男生,百分比,,,15.8,4.2%,15.8%,29.5%,57.9%,83.2%,94.7%,96.8%,3.2%
123,音樂,,女生,人數,123,119,,0,4,17,55,92,107,115,4
124,音樂,,女生,百分比,,,15.1,0.0%,3.4%,14.3%,46.2%,77.3%,89.9%,96.6%,3.4%
125,音樂,,總數,人數,218,214,,4,19,45,110,171,197,207,7
126,音樂,,總數,百分比,,,15.4,1.9%,8.9%,21.0%,51.4%,79.9%,92.1%,96.7%,3.3%
127,體育,,男生,人數,786,765,,0,1,10,63,265,531,706,59
128,體育,,男生,百分比,,,89.9,0.0%,0.1%,1.3%,8.2%,34.6%,69.4%,92.3%,7.7%
129,體育,,女生,人數,218,216,,1,4,8,32,94,155,204,12
130,體育,,女生,百分比,,,81.9,0.5%,1.9%,3.7%,14.8%,43.5%,71.8%,94.4%,5.6%
131,體育,,總數,人數,1004,981,,1,5,18,95,359,686,910,71
132,體育,,總數,百分比,,,88.2,0.1%,0.5%,1.8%,9.7%,36.6%,69.9%,92.8%,7.2%
133,物理,,男生,人數,7839,7622,,215,845,2045,3816,5570,6872,7461,161
134,物理,,男生,百分比,,,30.2,2.8%,11.1%,26.8%,50.1%,73.1%,90.2%,97.9%,2.1%
135,物理,,女生,人數,2992,2933,,43,209,619,1371,2171,2664,2880,53
136,物理,,女生,百分比,,,17.4,1.5%,7.1%,21.1%,46.7%,74.0%,90.8%,98.2%,1.8%
137,物理,,總數,人數,10831,10555,,258,1054,2664,5187,7741,9536,10341,214
138,物理,,總數,百分比,,,26.6,2.4%,10.0%,25.2%,49.1%,73.3%,90.3%,98.0%,2.0%
139,科學,組合科學 (生物、化學),男生,人數,207,194,,0,0,0,13,54,110,165,29
140,科學,組合科學 (生物、化學),男生,百分比,,,96.9,0.0%,0.0%,0.0%,6.7%,27.8%,56.7%,85.1%,14.9%
141,科學,組合科學 (生物、化學),女生,人數,166,163,,0,1,3,19,57,107,144,19
142,科學,組合科學 (生物、化學),女生,百分比,,,80.4,0.0%,0.6%,1.8%,11.7%,35.0%,65.6%,88.3%,11.7%
143,科學,組合科學 (生物、化學),總數,人數,373,357,,0,1,3,32,111,217,309,48
144,科學,組合科學 (生物、化學),總數,百分比,,,89.4,0.0%,0.3%,0.8%,9.0%,31.1%,60.8%,86.6%,13.4%
145,科學,組合科學 (生物、物理),男生,人數,25,25,,0,1,1,5,15,18,21,4
146,科學,組合科學 (生物、物理),男生,百分比,,,100.0,0.0%,4.0%,4.0%,20.0%,60.0%,72.0%,84.0%,16.0%
147,科學,組合科學 (生物、物理),女生,人數,7,7,,0,0,0,2,3,4,6,1
148,科學,組合科學 (生物、物理),女生,百分比,,,100.0,0.0%,0.0%,0.0%,28.6%,42.9%,57.1%,85.7%,14.3%
