行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),"達標並表現優異(I)
或以上",達標或以上,未達標,
34,應用科學,醫務化驗科學,女生,百分比,,,21.2%,48.5%,54.5%,45.5%,
35,應用科學,醫務化驗科學,總數,人數,56,55,15,32,34,21,
36,應用科學,醫務化驗科學,總數,百分比,,,27.3%,58.2%,61.8%,38.2%,
37,應用科學,實用心理學,男生,人數,50,48,3,16,44,4,
38,應用科學,實用心理學,男生,百分比,,,6.3%,33.3%,91.7%,8.3%,
39,應用科學,實用心理學,女生,人數,32,30,8,19,30,0,
40,應用科學,實用心理學,女生,百分比,,,26.7%,63.3%,100.0%,0.0%,
41,應用科學,實用心理學,總數,人數,82,78,11,35,74,4,
42,應用科學,實用心理學,總數,百分比,,,14.1%,44.9%,94.9%,5.1%,
43,應用科學,運動及體適能教練,男生,人數,78,77,1,8,64,13,
44,應用科學,運動及體適能教練,男生,百分比,,,1.3%,10.4%,83.1%,16.9%,
45,應用科學,運動及體適能教練,女生,人數,28,28,0,4,27,1,
46,應用科學,運動及體適能教練,女生,百分比,,,0.0%,14.3%,96.4%,3.6%,
47,應用科學,運動及體適能教練,總數,人數,106,105,1,12,91,14,
48,應用科學,運動及體適能教練,總數,百分比,,,1.0%,11.4%,86.7%,13.3%,
49,商業、管理及法律,會計實務,男生,人數,27,15,0,3,12,3,
50,商業、管理及法律,會計實務,男生,百分比,,,0.0%,20.0%,80.0%,20.0%,
51,商業、管理及法律,會計實務,女生,人數,25,18,5,9,18,0,
52,商業、管理及法律,會計實務,女生,百分比,,,27.8%,50.0%,100.0%,0.0%,
53,商業、管理及法律,會計實務,總數,人數,52,33,5,12,30,3,
54,商業、管理及法律,會計實務,總數,百分比,,,15.2%,36.4%,90.9%,9.1%,
55,商業、管理及法律,中小企創業實務,男生,人數,30,30,2,4,29,1,
56,商業、管理及法律,中小企創業實務,男生,百分比,,,6.7%,13.3%,96.7%,3.3%,
57,商業、管理及法律,中小企創業實務,女生,人數,13,13,1,3,12,1,
58,商業、管理及法律,中小企創業實務,女生,百分比,,,7.7%,23.1%,92.3%,7.7%,
59,商業、管理及法律,中小企創業實務,總數,人數,43,43,3,7,41,2,
60,商業、管理及法律,中小企創業實務,總數,百分比,,,7.0%,16.3%,95.3%,4.7%,
61,商業、管理及法律,香港執法實務,男生,人數,23,21,1,5,18,3,
62,商業、管理及法律,香港執法實務,男生,百分比,,,4.8%,23.8%,85.7%,14.3%,
63,商業、管理及法律,香港執法實務,女生,人數,13,12,0,3,12,0,
64,商業、管理及法律,香港執法實務,女生,百分比,,,0.0%,25.0%,100.0%,0.0%,
65,商業、管理及法律,香港執法實務,總數,人數,36,33,1,8,30,3,
66,商業、管理及法律,香港執法實務,總數,百分比,,,3.0%,24.2%,90.9%,9.1%,
67,商業、管理及法律,市場營銷及網上推廣,男生,人數,12,9,0,1,9,0,
68,商業、管理及法律,市場營銷及網上推廣,男生,百分比,,,0.0%,11.1%,100.0%,0.0%,
69,商業、管理及法律,市場營銷及網上推廣,女生,人數,11,10,3,8,10,0,
70,商業、管理及法律,市場營銷及網上推廣,女生,百分比,,,30.0%,80.0%,100.0%,0.0%,
71,商業、管理及法律,市場營銷及網上推廣,總數,人數,23,19,3,9,19,0,
72,商業、管理及法律,市場營銷及網上推廣,總數,百分比,,,15.8%,47.4%,100.0%,0.0%,
73,創意學習,電腦遊戲及動畫設計,男生,人數,140,136,9,29,130,6,
74,創意學習,電腦遊戲及動畫設計,男生,百分比,,,6.6%,21.3%,95.6%,4.4%,
75,創意學習,電腦遊戲及動畫設計,女生,人數,36,35,5,13,35,0,
76,創意學習,電腦遊戲及動畫設計,女生,百分比,,,14.3%,37.1%,100.0%,0.0%,
77,創意學習,電腦遊戲及動畫設計,總數,人數,176,171,14,42,165,6,
78,創意學習,電腦遊戲及動畫設計,總數,百分比,,,8.2%,24.6%,96.5%,3.5%,
79,創意學習,時裝及形象設計,男生,人數,29,25,2,4,20,5,
80,創意學習,時裝及形象設計,男生,百分比,,,8.0%,16.0%,80.0%,20.0%,
81,創意學習,時裝及形象設計,女生,人數,117,110,11,32,106,4,
82,創意學習,時裝及形象設計,女生,百分比,,,10.0%,29.1%,96.4%,3.6%,
83,創意學習,時裝及形象設計,總數,人數,146,135,13,36,126,9,
84,創意學習,時裝及形象設計,總數,百分比,,,9.6%,26.7%,93.3%,6.7%,
85,創意學習,室內設計,男生,人數,46,39,3,13,38,1,
86,創意學習,室內設計,男生,百分比,,,7.7%,33.3%,97.4%,2.6%,
87,創意學習,室內設計,女生,人數,50,46,4,18,46,0,
88,創意學習,室內設計,女生,百分比,,,8.7%,39.1%,100.0%,0.0%,
89,創意學習,室內設計,總數,人數,96,85,7,31,84,1,
90,創意學習,室內設計,總數,百分比,,,8.2%,36.5%,98.8%,1.2%,
91,創意學習,由踐入藝：粵劇入門,男生,人數,0,0,-,-,-,-,
92,創意學習,由踐入藝：粵劇入門,男生,百分比,,,-,-,-,-,
93,創意學習,由踐入藝：粵劇入門,女生,人數,0,0,-,-,-,-,
94,創意學習,由踐入藝：粵劇入門,女生,百分比,,,-,-,-,-,
95,創意學習,由踐入藝：粵劇入門,總數,人數,0,0,-,-,-,-,
96,創意學習,由踐入藝：粵劇入門,總數,百分比,,,-,-,-,-,
97,創意學習,珠寶及時尚首飾設計,男生,人數,6,4,0,0,3,1,
98,創意學習,珠寶及時尚首飾設計,男生,百分比,,,0.0%,0.0%,75.0%,25.0%,
99,創意學習,珠寶及時尚首飾設計,女生,人數,21,18,0,7,18,0,
100,創意學習,珠寶及時尚首飾設計,女生,百分比,,,0.0%,38.9%,100.0%,0.0%,
101,創意學習,珠寶及時尚首飾設計,總數,人數,27,22,0,7,21,1,
102,創意學習,珠寶及時尚首飾設計,總數,百分比,,,0.0%,31.8%,95.5%,4.5%,
103,創意學習,舞出新機－舞蹈藝術,男生,人數,5,5,0,0,4,1,
104,創意學習,舞出新機－舞蹈藝術,男生,百分比,,,0.0%,0.0%,80.0%,20.0%,
105,創意學習,舞出新機－舞蹈藝術,女生,人數,62,62,9,26,62,0,
106,創意學習,舞出新機－舞蹈藝術,女生,百分比,,,14.5%,41.9%,100.0%,0.0%,
107,創意學習,舞出新機－舞蹈藝術,總數,人數,67,67,9,26,66,1,
108,創意學習,舞出新機－舞蹈藝術,總數,百分比,,,13.4%,38.8%,98.5%,1.5%,
109,創意學習,由戲開始‧劇藝縱橫,男生,人數,22,21,0,10,21,0,
110,創意學習,由戲開始‧劇藝縱橫,男生,百分比,,,0.0%,47.6%,100.0%,0.0%,
111,創意學習,由戲開始‧劇藝縱橫,女生,人數,45,44,7,20,44,0,
112,創意學習,由戲開始‧劇藝縱橫,女生,百分比,,,15.9%,45.5%,100.0%,0.0%,
113,創意學習,由戲開始‧劇藝縱橫,總數,人數,67,65,7,30,65,0,
114,創意學習,由戲開始‧劇藝縱橫,總數,百分比,,,10.8%,46.2%,100.0%,0.0%,
115,工程及生產,汽車科技,男生,人數,64,63,2,6,53,10,
116,工程及生產,汽車科技,男生,百分比,,,3.2%,9.5%,84.1%,15.9%,
117,工程及生產,汽車科技,女生,人數,1,1,0,0,1,0,
118,工程及生產,汽車科技,女生,百分比,,,0.0%,0.0%,100.0%,0.0%,
119,工程及生產,汽車科技,總數,人數,65,64,2,6,54,10,
120,工程及生產,汽車科技,總數,百分比,,,3.1%,9.4%,84.4%,15.6%,
121,工程及生產,航空學,男生,人數,217,191,10,45,174,17,
122,工程及生產,航空學,男生,百分比,,,5.2%,23.6%,91.1%,8.9%,
123,工程及生產,航空學,女生,人數,137,133,11,54,131,2,
124,工程及生產,航空學,女生,百分比,,,8.3%,40.6%,98.5%,1.5%,
125,工程及生產,航空學,總數,人數,354,324,21,99,305,19,
126,工程及生產,航空學,總數,百分比,,,6.5%,30.6%,94.1%,5.9%,
127,工程及生產,屋宇科技,男生,人數,8,8,1,4,8,0,
128,工程及生產,屋宇科技,男生,百分比,,,12.5%,50.0%,100.0%,0.0%,
129,工程及生產,屋宇科技,女生,人數,6,6,3,6,6,0,
130,工程及生產,屋宇科技,女生,百分比,,,50.0%,100.0%,100.0%,0.0%,
131,工程及生產,屋宇科技,總數,人數,14,14,4,10,14,0,
132,工程及生產,屋宇科技,總數,百分比,,,28.6%,71.4%,100.0%,0.0%,
133,工程及生產,電腦鑑證科技,男生,人數,28,28,2,7,27,1,
134,工程及生產,電腦鑑證科技,男生,百分比,,,7.1%,25.0%,96.4%,3.6%,
135,工程及生產,電腦鑑證科技,女生,人數,5,5,2,3,5,0,
136,工程及生產,電腦鑑證科技,女生,百分比,,,40.0%,60.0%,100.0%,0.0%,
137,工程及生產,電腦鑑證科技,總數,人數,33,33,4,10,32,1,
138,工程及生產,電腦鑑證科技,總數,百分比,,,12.1%,30.3%,97.0%,3.0%,
139,工程及生產,電機及能源工程,男生,人數,41,40,3,12,40,0,
140,工程及生產,電機及能源工程,男生,百分比,,,7.5%,30.0%,100.0%,0.0%,
141,工程及生產,電機及能源工程,女生,人數,1,1,0,1,1,0,
142,工程及生產,電機及能源工程,女生,百分比,,,0.0%,100.0%,100.0%,0.0%,
143,工程及生產,電機及能源工程,總數,人數,42,41,3,13,41,0,
144,工程及生產,電機及能源工程,總數,百分比,,,7.3%,31.7%,100.0%,0.0%,
145,媒體及傳意,電影及錄像,男生,人數,102,94,3,14,81,13,
146,媒體及傳意,電影及錄像,男生,百分比,,,3.2%,14.9%,86.2%,13.8%,
147,媒體及傳意,電影及錄像,女生,人數,43,41,1,8,41,0,
148,媒體及傳意,電影及錄像,女生,百分比,,,2.4%,19.5%,100.0%,0.0%,
149,媒體及傳意,電影及錄像,總數,人數,145,135,4,22,122,13,
150,媒體及傳意,電影及錄像,總數,百分比,,,3.0%,16.3%,90.4%,9.6%,
151,媒體及傳意,雜誌編輯與製作,男生,人數,4,4,1,2,4,0,
152,媒體及傳意,雜誌編輯與製作,男生,百分比,,,25.0%,50.0%,100.0%,0.0%,
153,媒體及傳意,雜誌編輯與製作,女生,人數,19,19,7,13,19,0,
154,媒體及傳意,雜誌編輯與製作,女生,百分比,,,36.8%,68.4%,100.0%,0.0%,
155,媒體及傳意,雜誌編輯與製作,總數,人數,23,23,8,15,23,0,
156,媒體及傳意,雜誌編輯與製作,總數,百分比,,,34.8%,65.2%,100.0%,0.0%,
157,媒體及傳意,新媒體傳播策略,男生,人數,0,0,-,-,-,-,
158,媒體及傳意,新媒體傳播策略,男生,百分比,,,-,-,-,-,
159,媒體及傳意,新媒體傳播策略,女生,人數,0,0,-,-,-,-,
160,媒體及傳意,新媒體傳播策略,女生,百分比,,,-,-,-,-,
161,媒體及傳意,新媒體傳播策略,總數,人數,0,0,-,-,-,-,
162,媒體及傳意,新媒體傳播策略,總數,百分比,,,-,-,-,-,
163,服務,幼兒教育,男生,人數,11,11,0,4,11,0,
164,服務,幼兒教育,男生,百分比,,,0.0%,36.4%,100.0%,0.0%,
165,服務,幼兒教育,女生,人數,171,165,9,44,160,5,
166,服務,幼兒教育,女生,百分比,,,5.5%,26.7%,97.0%,3.0%,
167,服務,幼兒教育,總數,人數,182,176,9,48,171,5,
168,服務,幼兒教育,總數,百分比,,,5.1%,27.3%,97.2%,2.8%,
169,服務,餐飲業運作,男生,人數,36,29,0,0,29,0,
170,服務,餐飲業運作,男生,百分比,,,0.0%,0.0%,100.0%,0.0%,
171,服務,餐飲業運作,女生,人數,32,30,1,8,30,0,
172,服務,餐飲業運作,女生,百分比,,,3.3%,26.7%,100.0%,0.0%,
173,服務,餐飲業運作,總數,人數,68,59,1,8,59,0,
174,服務,餐飲業運作,總數,百分比,,,1.7%,13.6%,100.0%,0.0%,
175,服務,美容學基礎,男生,人數,2,1,0,0,1,0,
176,服務,美容學基礎,男生,百分比,,,0.0%,0.0%,100.0%,0.0%,
177,服務,美容學基礎,女生,人數,128,124,5,27,121,3,
178,服務,美容學基礎,女生,百分比,,,4.0%,21.8%,97.6%,2.4%,
179,服務,美容學基礎,總數,人數,130,125,5,27,122,3,
180,服務,美容學基礎,總數,百分比,,,4.0%,21.6%,97.6%,2.4%,
181,服務,酒店服務營運,男生,人數,74,69,4,21,59,10,
182,服務,酒店服務營運,男生,百分比,,,5.8%,30.4%,85.5%,14.5%,
183,服務,酒店服務營運,女生,人數,128,125,9,34,120,5,
184,服務,酒店服務營運,女生,百分比,,,7.2%,27.2%,96.0%,4.0%,
185,服務,酒店服務營運,總數,人數,202,194,13,55,179,15,
186,服務,酒店服務營運,總數,百分比,,,6.7%,28.4%,92.3%,7.7%,
187,服務,酒店營運,男生,人數,88,85,2,6,73,12,
188,服務,酒店營運,男生,百分比,,,2.4%,7.1%,85.9%,14.1%,
189,服務,酒店營運,女生,人數,97,94,6,28,88,6,
190,服務,酒店營運,女生,百分比,,,6.4%,29.8%,93.6%,6.4%,
191,服務,酒店營運,總數,人數,185,179,8,34,161,18,
192,服務,酒店營運,總數,百分比,,,4.5%,19.0%,89.9%,10.1%,
193,服務,甜品及咖啡店營運,男生,人數,53,40,1,5,34,6,
194,服務,甜品及咖啡店營運,男生,百分比,,,2.5%,12.5%,85.0%,15.0%,
195,服務,甜品及咖啡店營運,女生,人數,79,75,8,19,73,2,
196,服務,甜品及咖啡店營運,女生,百分比,,,10.7%,25.3%,97.3%,2.7%,
197,服務,甜品及咖啡店營運,總數,人數,132,115,9,24,107,8,
198,服務,甜品及咖啡店營運,總數,百分比,,,7.8%,20.9%,93.0%,7.0%,
199,服務,西式食品製作,男生,人數,379,353,7,34,334,19,
200,服務,西式食品製作,男生,百分比,,,2.0%,9.6%,94.6%,5.4%,
201,服務,西式食品製作,女生,人數,273,261,15,70,257,4,
202,服務,西式食品製作,女生,百分比,,,5.7%,26.8%,98.5%,1.5%,
203,服務,西式食品製作,總數,人數,652,614,22,104,591,23,
204,服務,西式食品製作,總數,百分比,,,3.6%,16.9%,96.3%,3.7%,
205,所有乙類學科 (不包括應用學習中文),,男生,人數,1820,1662,79,341,1515,147,
206,所有乙類學科 (不包括應用學習中文),,男生,百分比,,,4.8%,20.5%,91.2%,8.8%,
207,所有乙類學科 (不包括應用學習中文),,女生,人數,1937,1845,183,632,1791,54,
208,所有乙類學科 (不包括應用學習中文),,女生,百分比,,,9.9%,34.3%,97.1%,2.9%,
209,所有乙類學科 (不包括應用學習中文),,總數,人數,3757,3507,262,973,3306,201,
210,所有乙類學科 (不包括應用學習中文),,總數,百分比,,,7.5%,27.7%,94.3%,5.7%,
