No.,Subject,Subject_2,Gender,Type,No. Entered,No. Sat,Chinese Version %,Performance - 5**,Performance - 5*+,Performance - 5+,Performance - 4+,Performance - 3+,Performance - 2+,Performance - 1+,Performance - U
161,Science,Combined Science (Biology),Total,Number,179,158,,3,5,9,33,76,120,143,15
162,Science,Combined Science (Biology),Total,Percentage,,,87.3,1.9%,3.2%,5.7%,20.9%,48.1%,75.9%,90.5%,9.5%
163,Science,Combined Science (Chemistry),Male,Number,137,119,,0,1,1,18,43,65,91,28
164,Science,Combined Science (Chemistry),Male,Percentage,,,83.2,0.0%,0.8%,0.8%,15.1%,36.1%,54.6%,76.5%,23.5%
165,Science,Combined Science (Chemistry),Female,Number,105,95,,0,2,2,11,35,57,77,18
166,Science,Combined Science (Chemistry),Female,Percentage,,,77.9,0.0%,2.1%,2.1%,11.6%,36.8%,60.0%,81.1%,18.9%
167,Science,Combined Science (Chemistry),Total,Number,242,214,,0,3,3,29,78,122,168,46
168,Science,Combined Science (Chemistry),Total,Percentage,,,80.8,0.0%,1.4%,1.4%,13.6%,36.4%,57.0%,78.5%,21.5%
169,Science,Combined Science (Physics),Male,Number,52,45,,1,2,5,12,24,36,43,2
170,Science,Combined Science (Physics),Male,Percentage,,,77.8,2.2%,4.4%,11.1%,26.7%,53.3%,80.0%,95.6%,4.4%
171,Science,Combined Science (Physics),Female,Number,41,37,,0,1,2,5,13,22,33,4
172,Science,Combined Science (Physics),Female,Percentage,,,70.3,0.0%,2.7%,5.4%,13.5%,35.1%,59.5%,89.2%,10.8%
173,Science,Combined Science (Physics),Total,Number,93,82,,1,3,7,17,37,58,76,6
174,Science,Combined Science (Physics),Total,Percentage,,,74.4,1.2%,3.7%,8.5%,20.7%,45.1%,70.7%,92.7%,7.3%
175,Science,Combined Science,Male,Number,148,130,,0,0,4,20,53,91,112,18
176,Science,Combined Science,Male,Percentage,,,84.6,0.0%,0.0%,3.1%,15.4%,40.8%,70.0%,86.2%,13.8%
177,Science,Combined Science,Female,Number,109,101,,0,1,4,12,37,60,84,17
178,Science,Combined Science,Female,Percentage,,,79.2,0.0%,1.0%,4.0%,11.9%,36.6%,59.4%,83.2%,16.8%
179,Science,Combined Science,Total,Number,257,231,,0,1,8,32,90,151,196,35
180,Science,Combined Science,Total,Percentage,,,82.3,0.0%,0.4%,3.5%,13.9%,39.0%,65.4%,84.8%,15.2%
181,Science,Integrated Science,Male,Number,37,28,,0,0,1,2,7,16,27,1
182,Science,Integrated Science,Male,Percentage,,,85.7,0.0%,0.0%,3.6%,7.1%,25.0%,57.1%,96.4%,3.6%
183,Science,Integrated Science,Female,Number,17,16,,0,1,2,2,4,8,13,3
184,Science,Integrated Science,Female,Percentage,,,75.0,0.0%,6.3%,12.5%,12.5%,25.0%,50.0%,81.3%,18.8%
185,Science,Integrated Science,Total,Number,54,44,,0,1,3,4,11,24,40,4
186,Science,Integrated Science,Total,Percentage,,,81.8,0.0%,2.3%,6.8%,9.1%,25.0%,54.5%,90.9%,9.1%
187,Technology and Living,Food Science and Technology,Male,Number,55,45,,0,0,0,2,11,26,39,6
188,Technology and Living,Food Science and Technology,Male,Percentage,,,82.2,0.0%,0.0%,0.0%,4.4%,24.4%,57.8%,86.7%,13.3%
189,Technology and Living,Food Science and Technology,Female,Number,125,115,,1,4,11,23,60,96,112,3
190,Technology and Living,Food Science and Technology,Female,Percentage,,,57.4,0.9%,3.5%,9.6%,20.0%,52.2%,83.5%,97.4%,2.6%
191,Technology and Living,Food Science and Technology,Total,Number,180,160,,1,4,11,25,71,122,151,9
192,Technology and Living,Food Science and Technology,Total,Percentage,,,64.4,0.6%,2.5%,6.9%,15.6%,44.4%,76.3%,94.4%,5.6%
193,Technology and Living,"Fashion, Clothing and Textiles",Male,Number,15,4,,0,0,0,0,1,1,2,2
194,Technology and Living,"Fashion, Clothing and Textiles",Male,Percentage,,,100.0,0.0%,0.0%,0.0%,0.0%,25.0%,25.0%,50.0%,50.0%
195,Technology and Living,"Fashion, Clothing and Textiles",Female,Number,32,23,,1,2,3,7,12,20,23,0
196,Technology and Living,"Fashion, Clothing and Textiles",Female,Percentage,,,65.2,4.3%,8.7%,13.0%,30.4%,52.2%,87.0%,100.0%,0.0%
197,Technology and Living,"Fashion, Clothing and Textiles",Total,Number,47,27,,1,2,3,7,13,21,25,2
198,Technology and Living,"Fashion, Clothing and Textiles",Total,Percentage,,,70.4,3.7%,7.4%,11.1%,25.9%,48.1%,77.8%,92.6%,7.4%
199,Tourism and Hospitality Studies,,Male,Number,1439,1278,,3,9,38,153,367,859,1108,170
200,Tourism and Hospitality Studies,,Male,Percentage,,,90.0,0.2%,0.7%,3.0%,12.0%,28.7%,67.2%,86.7%,13.3%
201,Tourism and Hospitality Studies,,Female,Number,2023,1866,,11,44,105,322,714,1397,1706,160
202,Tourism and Hospitality Studies,,Female,Percentage,,,86.9,0.6%,2.4%,5.6%,17.3%,38.3%,74.9%,91.4%,8.6%
203,Tourism and Hospitality Studies,,Total,Number,3462,3144,,14,53,143,475,1081,2256,2814,330
204,Tourism and Hospitality Studies,,Total,Percentage,,,88.1,0.4%,1.7%,4.5%,15.1%,34.4%,71.8%,89.5%,10.5%
205,Visual Arts,,Male,Number,923,815,,4,12,36,118,264,584,751,64
206,Visual Arts,,Male,Percentage,,,84.3,0.5%,1.5%,4.4%,14.5%,32.4%,71.7%,92.1%,7.9%
207,Visual Arts,,Female,Number,2662,2557,,21,77,200,699,1448,2243,2465,92
208,Visual Arts,,Female,Percentage,,,82.1,0.8%,3.0%,7.8%,27.3%,56.6%,87.7%,96.4%,3.6%
209,Visual Arts,,Total,Number,3585,3372,,25,89,236,817,1712,2827,3216,156
210,Visual Arts,,Total,Percentage,,,82.6,0.7%,2.6%,7.0%,24.2%,50.8%,83.8%,95.4%,4.6%
211,All Category A subjects#,,Male,Number,141993,134481,,1998,7276,17599,45582,78276,111567,126173,8308
212,All Category A subjects#,,Male,Percentage,,,56.7,1.5%,5.4%,13.1%,33.9%,58.2%,83.0%,93.8%,6.2%
213,All Category A subjects#,,Female,Number,134834,129920,,1726,7020,17614,49850,83444,113365,124711,5209
214,All Category A subjects#,,Female,Percentage,,,51.4,1.3%,5.4%,13.6%,38.4%,64.2%,87.3%,96.0%,4.0%
215,All Category A subjects#,,Total,Number,276827,264401,,3724,14296,35213,95432,161720,224932,250884,13517
216,All Category A subjects#,,Total,Percentage,,,54.2,1.4%,5.4%,13.3%,36.1%,61.2%,85.1%,94.9%,5.1%
