行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),達標並表現優異(I)或以上,達標或以上,未達標
164,工程及生產,電機及能源工程,男生,百分比,,,6.5%,21.0%,100.0%,0.0%
165,工程及生產,電機及能源工程,女生,人數,3,3,1,1,3,0
166,工程及生產,電機及能源工程,女生,百分比,,,33.3%,33.3%,100.0%,0.0%
167,工程及生產,電機及能源工程,總數,人數,70,65,5,14,65,0
168,工程及生產,電機及能源工程,總數,百分比,,,7.7%,21.5%,100.0%,0.0%
169,工程及生產,電競科技,男生,人數,40,33,3,8,26,7
170,工程及生產,電競科技,男生,百分比,,,9.1%,24.2%,78.8%,21.2%
171,工程及生產,電競科技,女生,人數,4,3,1,3,3,0
172,工程及生產,電競科技,女生,百分比,,,33.3%,100.0%,100.0%,0.0%
173,工程及生產,電競科技,總數,人數,44,36,4,11,29,7
174,工程及生產,電競科技,總數,百分比,,,11.1%,30.6%,80.6%,19.4%
175,工程及生產,鐵路學,男生,人數,47,44,1,4,40,4
176,工程及生產,鐵路學,男生,百分比,,,2.3%,9.1%,90.9%,9.1%
177,工程及生產,鐵路學,女生,人數,0,0,-,-,-,-
178,工程及生產,鐵路學,女生,百分比,,,-,-,-,-
179,工程及生產,鐵路學,總數,人數,47,44,1,4,40,4
180,工程及生產,鐵路學,總數,百分比,,,2.3%,9.1%,90.9%,9.1%
181,工程及生產,資訊科技精要,男生,人數,72,53,6,15,50,3
182,工程及生產,資訊科技精要,男生,百分比,,,11.3%,28.3%,94.3%,5.7%
183,工程及生產,資訊科技精要,女生,人數,22,20,2,5,18,2
184,工程及生產,資訊科技精要,女生,百分比,,,10.0%,25.0%,90.0%,10.0%
185,工程及生產,資訊科技精要,總數,人數,94,73,8,20,68,5
186,工程及生產,資訊科技精要,總數,百分比,,,11.0%,27.4%,93.2%,6.8%
187,媒體及傳意,數碼媒體及電台製作,男生,人數,7,7,1,3,7,0
188,媒體及傳意,數碼媒體及電台製作,男生,百分比,,,14.3%,42.9%,100.0%,0.0%
189,媒體及傳意,數碼媒體及電台製作,女生,人數,11,11,2,6,11,0
190,媒體及傳意,數碼媒體及電台製作,女生,百分比,,,18.2%,54.5%,100.0%,0.0%
191,媒體及傳意,數碼媒體及電台製作,總數,人數,18,18,3,9,18,0
192,媒體及傳意,數碼媒體及電台製作,總數,百分比,,,16.7%,50.0%,100.0%,0.0%
193,媒體及傳意,電影及超媒體,男生,人數,46,44,2,11,42,2
194,媒體及傳意,電影及超媒體,男生,百分比,,,4.5%,25.0%,95.5%,4.5%
195,媒體及傳意,電影及超媒體,女生,人數,38,37,7,21,36,1
196,媒體及傳意,電影及超媒體,女生,百分比,,,18.9%,56.8%,97.3%,2.7%
197,媒體及傳意,電影及超媒體,總數,人數,84,81,9,32,78,3
198,媒體及傳意,電影及超媒體,總數,百分比,,,11.1%,39.5%,96.3%,3.7%
199,媒體及傳意,公關及多媒體傳訊,男生,人數,11,10,0,3,10,0
200,媒體及傳意,公關及多媒體傳訊,男生,百分比,,,0.0%,30.0%,100.0%,0.0%
201,媒體及傳意,公關及多媒體傳訊,女生,人數,21,19,5,12,19,0
202,媒體及傳意,公關及多媒體傳訊,女生,百分比,,,26.3%,63.2%,100.0%,0.0%
203,媒體及傳意,公關及多媒體傳訊,總數,人數,32,29,5,15,29,0
204,媒體及傳意,公關及多媒體傳訊,總數,百分比,,,17.2%,51.7%,100.0%,0.0%
205,服務,機場客運大樓運作,男生,人數,32,29,1,7,26,3
206,服務,機場客運大樓運作,男生,百分比,,,3.4%,24.1%,89.7%,10.3%
207,服務,機場客運大樓運作,女生,人數,23,22,4,10,21,1
208,服務,機場客運大樓運作,女生,百分比,,,18.2%,45.5%,95.5%,4.5%
209,服務,機場客運大樓運作,總數,人數,55,51,5,17,47,4
210,服務,機場客運大樓運作,總數,百分比,,,9.8%,33.3%,92.2%,7.8%
211,服務,幼兒發展,男生,人數,6,6,0,1,6,0
212,服務,幼兒發展,男生,百分比,,,0.0%,16.7%,100.0%,0.0%
213,服務,幼兒發展,女生,人數,37,37,3,13,37,0
214,服務,幼兒發展,女生,百分比,,,8.1%,35.1%,100.0%,0.0%
215,服務,幼兒發展,總數,人數,43,43,3,14,43,0
216,服務,幼兒發展,總數,百分比,,,7.0%,32.6%,100.0%,0.0%
217,服務,幼兒教育,男生,人數,11,11,1,2,11,0
218,服務,幼兒教育,男生,百分比,,,9.1%,18.2%,100.0%,0.0%
219,服務,幼兒教育,女生,人數,135,125,16,37,125,0
220,服務,幼兒教育,女生,百分比,,,12.8%,29.6%,100.0%,0.0%
221,服務,幼兒教育,總數,人數,146,136,17,39,136,0
222,服務,幼兒教育,總數,百分比,,,12.5%,28.7%,100.0%,0.0%
223,服務,美容學基礎,男生,人數,9,5,1,1,5,0
224,服務,美容學基礎,男生,百分比,,,20.0%,20.0%,100.0%,0.0%
225,服務,美容學基礎,女生,人數,121,102,5,30,99,3
226,服務,美容學基礎,女生,百分比,,,4.9%,29.4%,97.1%,2.9%
227,服務,美容學基礎,總數,人數,130,107,6,31,104,3
228,服務,美容學基礎,總數,百分比,,,5.6%,29.0%,97.2%,2.8%
229,服務,酒店服務營運,男生,人數,26,25,1,1,21,4
230,服務,酒店服務營運,男生,百分比,,,4.0%,4.0%,84.0%,16.0%
231,服務,酒店服務營運,女生,人數,43,43,3,16,41,2
232,服務,酒店服務營運,女生,百分比,,,7.0%,37.2%,95.3%,4.7%
233,服務,酒店服務營運,總數,人數,69,68,4,17,62,6
234,服務,酒店服務營運,總數,百分比,,,5.9%,25.0%,91.2%,8.8%
235,服務,酒店營運,男生,人數,27,24,0,1,22,2
236,服務,酒店營運,男生,百分比,,,0.0%,4.2%,91.7%,8.3%
237,服務,酒店營運,女生,人數,20,19,2,5,19,0
238,服務,酒店營運,女生,百分比,,,10.5%,26.3%,100.0%,0.0%
239,服務,酒店營運,總數,人數,47,43,2,6,41,2
240,服務,酒店營運,總數,百分比,,,4.7%,14.0%,95.3%,4.7%
241,服務,甜品及咖啡店營運,男生,人數,109,90,4,13,76,14
242,服務,甜品及咖啡店營運,男生,百分比,,,4.4%,14.4%,84.4%,15.6%
243,服務,甜品及咖啡店營運,女生,人數,225,208,19,52,197,11
244,服務,甜品及咖啡店營運,女生,百分比,,,9.1%,25.0%,94.7%,5.3%
245,服務,甜品及咖啡店營運,總數,人數,334,298,23,65,273,25
246,服務,甜品及咖啡店營運,總數,百分比,,,7.7%,21.8%,91.6%,8.4%
247,服務,西式食品製作,男生,人數,251,213,2,20,190,23
248,服務,西式食品製作,男生,百分比,,,0.9%,9.4%,89.2%,10.8%
249,服務,西式食品製作,女生,人數,242,220,15,56,214,6
250,服務,西式食品製作,女生,百分比,,,6.8%,25.5%,97.3%,2.7%
251,服務,西式食品製作,總數,人數,493,433,17,76,404,29
252,服務,西式食品製作,總數,百分比,,,3.9%,17.6%,93.3%,6.7%
253,所有乙類學科 (不包括應用學習中文),,男生,人數,1809,1578,109,350,1410,168
254,所有乙類學科 (不包括應用學習中文),,男生,百分比,,,6.9%,22.2%,89.4%,10.6%
255,所有乙類學科 (不包括應用學習中文),,女生,人數,2140,2009,315,806,1927,82
256,所有乙類學科 (不包括應用學習中文),,女生,百分比,,,15.7%,40.1%,95.9%,4.1%
257,所有乙類學科 (不包括應用學習中文),,總數,人數,3949,3587,424,1156,3337,250
258,所有乙類學科 (不包括應用學習中文),,總數,百分比,,,11.8%,32.2%,93.0%,7.0%
