No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
118,Creative Studies,Fashion Image Design,Female,Percentage,,,11.8%,32.4%,98.0%,2.0%
119,Creative Studies,Fashion Image Design,Total,Number,134,131,14,38,129,2
120,Creative Studies,Fashion Image Design,Total,Percentage,,,10.7%,29.0%,98.5%,1.5%
121,Creative Studies,Interior Design,Male,Number,33,24,2,6,20,4
122,Creative Studies,Interior Design,Male,Percentage,,,8.3%,25.0%,83.3%,16.7%
123,Creative Studies,Interior Design,Female,Number,53,50,8,19,47,3
124,Creative Studies,Interior Design,Female,Percentage,,,16.0%,38.0%,94.0%,6.0%
125,Creative Studies,Interior Design,Total,Number,86,74,10,25,67,7
126,Creative Studies,Interior Design,Total,Percentage,,,13.5%,33.8%,90.5%,9.5%
127,Creative Studies,Popular Music Production,Male,Number,34,29,3,7,25,4
128,Creative Studies,Popular Music Production,Male,Percentage,,,10.3%,24.1%,86.2%,13.8%
129,Creative Studies,Popular Music Production,Female,Number,42,34,7,18,30,4
130,Creative Studies,Popular Music Production,Female,Percentage,,,20.6%,52.9%,88.2%,11.8%
131,Creative Studies,Popular Music Production,Total,Number,76,63,10,25,55,8
132,Creative Studies,Popular Music Production,Total,Percentage,,,15.9%,39.7%,87.3%,12.7%
133,Creative Studies,Taking a Chance on Dance,Male,Number,7,6,1,2,6,0
134,Creative Studies,Taking a Chance on Dance,Male,Percentage,,,16.7%,33.3%,100.0%,0.0%
135,Creative Studies,Taking a Chance on Dance,Female,Number,58,52,6,16,51,1
136,Creative Studies,Taking a Chance on Dance,Female,Percentage,,,11.5%,30.8%,98.1%,1.9%
137,Creative Studies,Taking a Chance on Dance,Total,Number,65,58,7,18,57,1
138,Creative Studies,Taking a Chance on Dance,Total,Percentage,,,12.1%,31.0%,98.3%,1.7%
139,Creative Studies,The Essentials of Theatre Arts,Male,Number,12,11,0,5,11,0
140,Creative Studies,The Essentials of Theatre Arts,Male,Percentage,,,0.0%,45.5%,100.0%,0.0%
141,Creative Studies,The Essentials of Theatre Arts,Female,Number,49,46,11,23,43,3
142,Creative Studies,The Essentials of Theatre Arts,Female,Percentage,,,23.9%,50.0%,93.5%,6.5%
143,Creative Studies,The Essentials of Theatre Arts,Total,Number,61,57,11,28,54,3
144,Creative Studies,The Essentials of Theatre Arts,Total,Percentage,,,19.3%,49.1%,94.7%,5.3%
145,Engineering and Production,Aviation Studies,Male,Number,144,132,5,19,124,8
146,Engineering and Production,Aviation Studies,Male,Percentage,,,3.8%,14.4%,93.9%,6.1%
147,Engineering and Production,Aviation Studies,Female,Number,65,64,5,14,62,2
148,Engineering and Production,Aviation Studies,Female,Percentage,,,7.8%,21.9%,96.9%,3.1%
149,Engineering and Production,Aviation Studies,Total,Number,209,196,10,33,186,10
150,Engineering and Production,Aviation Studies,Total,Percentage,,,5.1%,16.8%,94.9%,5.1%
151,Engineering and Production,Computer Forensic Technology,Male,Number,15,14,3,10,13,1
152,Engineering and Production,Computer Forensic Technology,Male,Percentage,,,21.4%,71.4%,92.9%,7.1%
153,Engineering and Production,Computer Forensic Technology,Female,Number,3,3,3,3,3,0
154,Engineering and Production,Computer Forensic Technology,Female,Percentage,,,100.0%,100.0%,100.0%,0.0%
155,Engineering and Production,Computer Forensic Technology,Total,Number,18,17,6,13,16,1
156,Engineering and Production,Computer Forensic Technology,Total,Percentage,,,35.3%,76.5%,94.1%,5.9%
157,Engineering and Production,Constructing Smart Cities,Male,Number,21,17,2,5,12,5
