行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
88,資訊及通訊科技,,女生,百分比,,,40.3,0.6%,3.9%,9.4%,28.6%,52.6%,79.3%,92.5%,7.5%
89,資訊及通訊科技,,總數,人數,5534,5201,,68,261,642,1705,2887,4245,4867,334
90,資訊及通訊科技,,總數,百分比,,,55.1,1.3%,5.0%,12.3%,32.8%,55.5%,81.6%,93.6%,6.4%
91,通識教育,,男生,人數,22934,21951,,133,510,1450,6615,13544,19087,21289,662
92,通識教育,,男生,百分比,,,87.0,0.6%,2.3%,6.6%,30.1%,61.7%,87.0%,97.0%,3.0%
93,通識教育,,女生,人數,21773,21209,,261,1100,2648,9259,15624,19593,20937,272
94,通識教育,,女生,百分比,,,80.6,1.2%,5.2%,12.5%,43.7%,73.7%,92.4%,98.7%,1.3%
95,通識教育,,總數,人數,44707,43160,,394,1610,4098,15874,29168,38680,42226,934
96,通識教育,,總數,百分比,,,83.9,0.9%,3.7%,9.5%,36.8%,67.6%,89.6%,97.8%,2.2%
97,英語文學,,男生,人數,27,22,,0,0,3,4,10,13,15,7
98,英語文學,,男生,百分比,,,-,0.0%,0.0%,13.6%,18.2%,45.5%,59.1%,68.2%,31.8%
99,英語文學,,女生,人數,202,192,,5,20,49,115,162,182,187,5
100,英語文學,,女生,百分比,,,-,2.6%,10.4%,25.5%,59.9%,84.4%,94.8%,97.4%,2.6%
101,英語文學,,總數,人數,229,214,,5,20,52,119,172,195,202,12
102,英語文學,,總數,百分比,,,-,2.3%,9.3%,24.3%,55.6%,80.4%,91.1%,94.4%,5.6%
103,數學,必修部分,男生,人數,24090,22927,,575,1874,4136,9482,13448,18606,21001,1926
104,數學,必修部分,男生,百分比,,,43.3,2.5%,8.2%,18.0%,41.4%,58.7%,81.2%,91.6%,8.4%
105,數學,必修部分,女生,人數,22504,21714,,139,821,2439,7769,12353,17756,20133,1581
106,數學,必修部分,女生,百分比,,,35.2,0.6%,3.8%,11.2%,35.8%,56.9%,81.8%,92.7%,7.3%
107,數學,必修部分,總數,人數,46594,44641,,714,2695,6575,17251,25801,36362,41134,3507
108,數學,必修部分,總數,百分比,,,39.4,1.6%,6.0%,14.7%,38.6%,57.8%,81.5%,92.1%,7.9%
109,數學,延伸部分 (微積分與統計),男生,人數,1431,1296,,52,214,434,707,917,1101,1211,85
110,數學,延伸部分 (微積分與統計),男生,百分比,,,23.0,4.0%,16.5%,33.5%,54.6%,70.8%,85.0%,93.4%,6.6%
111,數學,延伸部分 (微積分與統計),女生,人數,1075,973,,22,101,299,561,727,867,933,40
112,數學,延伸部分 (微積分與統計),女生,百分比,,,17.2,2.3%,10.4%,30.7%,57.7%,74.7%,89.1%,95.9%,4.1%
113,數學,延伸部分 (微積分與統計),總數,人數,2506,2269,,74,315,733,1268,1644,1968,2144,125
114,數學,延伸部分 (微積分與統計),總數,百分比,,,20.5,3.3%,13.9%,32.3%,55.9%,72.5%,86.7%,94.5%,5.5%
